facility_id,facility_name,missing_field,impact,suggested_source
DC-00006,Sailfish Comanche Circle,generation_mix,Medium,Utility IRP / sustainability reports
DC-00006,Sailfish Comanche Circle,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00006,Sailfish Comanche Circle,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00007,GridFree AI South Dallas One,utility,Medium,State PUC dockets / utility IRP
DC-00007,GridFree AI South Dallas One,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00007,GridFree AI South Dallas One,cooling_detail,High,Building permits / vendor case studies
DC-00007,GridFree AI South Dallas One,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00007,GridFree AI South Dallas One,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00007,GridFree AI South Dallas One,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00007,GridFree AI South Dallas One,latitude,Medium,Building permits / county GIS / OSM
DC-00007,GridFree AI South Dallas One,longitude,Medium,Building permits / county GIS / OSM
DC-00007,GridFree AI South Dallas One,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00007,GridFree AI South Dallas One,generation_mix,Medium,Utility IRP / sustainability reports
DC-00007,GridFree AI South Dallas One,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00007,GridFree AI South Dallas One,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00027,Meta Hyperion Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00027,Meta Hyperion Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00030,Meta Hyperion,latitude,Medium,Building permits / county GIS / OSM
DC-00030,Meta Hyperion,longitude,Medium,Building permits / county GIS / OSM
DC-00008,Fermi Phase 3 (SMR/Expansion),utility,Medium,State PUC dockets / utility IRP
DC-00008,Fermi Phase 3 (SMR/Expansion),ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00008,Fermi Phase 3 (SMR/Expansion),cooling_detail,High,Building permits / vendor case studies
DC-00008,Fermi Phase 3 (SMR/Expansion),gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00008,Fermi Phase 3 (SMR/Expansion),cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00008,Fermi Phase 3 (SMR/Expansion),total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00008,Fermi Phase 3 (SMR/Expansion),latitude,Medium,Building permits / county GIS / OSM
DC-00008,Fermi Phase 3 (SMR/Expansion),longitude,Medium,Building permits / county GIS / OSM
DC-00008,Fermi Phase 3 (SMR/Expansion),voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00008,Fermi Phase 3 (SMR/Expansion),generation_mix,Medium,Utility IRP / sustainability reports
DC-00008,Fermi Phase 3 (SMR/Expansion),water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00008,Fermi Phase 3 (SMR/Expansion),network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00009,Homer City Energy Campus,utility,Medium,State PUC dockets / utility IRP
DC-00009,Homer City Energy Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00009,Homer City Energy Campus,cooling_detail,High,Building permits / vendor case studies
DC-00009,Homer City Energy Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00009,Homer City Energy Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00009,Homer City Energy Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00009,Homer City Energy Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00009,Homer City Energy Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00009,Homer City Energy Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00009,Homer City Energy Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00009,Homer City Energy Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00009,Homer City Energy Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00010,Fermi Phase 2 (Nuclear),utility,Medium,State PUC dockets / utility IRP
DC-00010,Fermi Phase 2 (Nuclear),ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00010,Fermi Phase 2 (Nuclear),cooling_detail,High,Building permits / vendor case studies
DC-00010,Fermi Phase 2 (Nuclear),gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00010,Fermi Phase 2 (Nuclear),cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00010,Fermi Phase 2 (Nuclear),total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00010,Fermi Phase 2 (Nuclear),latitude,Medium,Building permits / county GIS / OSM
DC-00010,Fermi Phase 2 (Nuclear),longitude,Medium,Building permits / county GIS / OSM
DC-00010,Fermi Phase 2 (Nuclear),voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00010,Fermi Phase 2 (Nuclear),generation_mix,Medium,Utility IRP / sustainability reports
DC-00010,Fermi Phase 2 (Nuclear),water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00010,Fermi Phase 2 (Nuclear),network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00011,High Performance Compute Campus,utility,Medium,State PUC dockets / utility IRP
DC-00011,High Performance Compute Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00011,High Performance Compute Campus,cooling_detail,High,Building permits / vendor case studies
DC-00011,High Performance Compute Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00011,High Performance Compute Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00011,High Performance Compute Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00011,High Performance Compute Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00011,High Performance Compute Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00011,High Performance Compute Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00011,High Performance Compute Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00011,High Performance Compute Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00011,High Performance Compute Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00012,STAK Energy North Slopes,utility,Medium,State PUC dockets / utility IRP
DC-00012,STAK Energy North Slopes,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00012,STAK Energy North Slopes,cooling_detail,High,Building permits / vendor case studies
DC-00012,STAK Energy North Slopes,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00012,STAK Energy North Slopes,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00012,STAK Energy North Slopes,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00012,STAK Energy North Slopes,latitude,Medium,Building permits / county GIS / OSM
DC-00012,STAK Energy North Slopes,longitude,Medium,Building permits / county GIS / OSM
DC-00012,STAK Energy North Slopes,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00012,STAK Energy North Slopes,generation_mix,Medium,Utility IRP / sustainability reports
DC-00012,STAK Energy North Slopes,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00012,STAK Energy North Slopes,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00013,Vermaland La Osa Campus,utility,Medium,State PUC dockets / utility IRP
DC-00013,Vermaland La Osa Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00013,Vermaland La Osa Campus,cooling_detail,High,Building permits / vendor case studies
DC-00013,Vermaland La Osa Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00013,Vermaland La Osa Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00013,Vermaland La Osa Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00013,Vermaland La Osa Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00013,Vermaland La Osa Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00013,Vermaland La Osa Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00013,Vermaland La Osa Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00013,Vermaland La Osa Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00013,Vermaland La Osa Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00019,Vermaland Pinal County,utility,Medium,State PUC dockets / utility IRP
DC-00019,Vermaland Pinal County,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00019,Vermaland Pinal County,cooling_detail,High,Building permits / vendor case studies
DC-00019,Vermaland Pinal County,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00019,Vermaland Pinal County,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00019,Vermaland Pinal County,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00019,Vermaland Pinal County,latitude,Medium,Building permits / county GIS / OSM
DC-00019,Vermaland Pinal County,longitude,Medium,Building permits / county GIS / OSM
DC-00019,Vermaland Pinal County,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00019,Vermaland Pinal County,generation_mix,Medium,Utility IRP / sustainability reports
DC-00019,Vermaland Pinal County,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00019,Vermaland Pinal County,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00031,North Creek Tech Campus,utility,Medium,State PUC dockets / utility IRP
DC-00031,North Creek Tech Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00031,North Creek Tech Campus,cooling_detail,High,Building permits / vendor case studies
DC-00031,North Creek Tech Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00031,North Creek Tech Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00031,North Creek Tech Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00031,North Creek Tech Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00031,North Creek Tech Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00031,North Creek Tech Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00031,North Creek Tech Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00031,North Creek Tech Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00031,North Creek Tech Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00034,Crusoe Tallgrass Wyoming,latitude,Medium,Building permits / county GIS / OSM
DC-00034,Crusoe Tallgrass Wyoming,longitude,Medium,Building permits / county GIS / OSM
DC-00035,Crusoe Tallgrass,latitude,Medium,Building permits / county GIS / OSM
DC-00035,Crusoe Tallgrass,longitude,Medium,Building permits / county GIS / OSM
DC-00014,Hanover Technology Park,utility,Medium,State PUC dockets / utility IRP
DC-00014,Hanover Technology Park,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00014,Hanover Technology Park,cooling_detail,High,Building permits / vendor case studies
DC-00014,Hanover Technology Park,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00014,Hanover Technology Park,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00014,Hanover Technology Park,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00014,Hanover Technology Park,latitude,Medium,Building permits / county GIS / OSM
DC-00014,Hanover Technology Park,longitude,Medium,Building permits / county GIS / OSM
DC-00014,Hanover Technology Park,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00014,Hanover Technology Park,generation_mix,Medium,Utility IRP / sustainability reports
DC-00014,Hanover Technology Park,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00014,Hanover Technology Park,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00015,Project Marvel,utility,Medium,State PUC dockets / utility IRP
DC-00015,Project Marvel,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00015,Project Marvel,cooling_detail,High,Building permits / vendor case studies
DC-00015,Project Marvel,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00015,Project Marvel,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00015,Project Marvel,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00015,Project Marvel,latitude,Medium,Building permits / county GIS / OSM
DC-00015,Project Marvel,longitude,Medium,Building permits / county GIS / OSM
DC-00015,Project Marvel,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00015,Project Marvel,generation_mix,Medium,Utility IRP / sustainability reports
DC-00015,Project Marvel,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00015,Project Marvel,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00050,Stargate Abilene Phase 2,latitude,Medium,Building permits / county GIS / OSM
DC-00050,Stargate Abilene Phase 2,longitude,Medium,Building permits / county GIS / OSM
DC-00018,Wilsonville Data Center,utility,Medium,State PUC dockets / utility IRP
DC-00018,Wilsonville Data Center,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00018,Wilsonville Data Center,cooling_detail,High,Building permits / vendor case studies
DC-00018,Wilsonville Data Center,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00018,Wilsonville Data Center,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00018,Wilsonville Data Center,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00018,Wilsonville Data Center,latitude,Medium,Building permits / county GIS / OSM
DC-00018,Wilsonville Data Center,longitude,Medium,Building permits / county GIS / OSM
DC-00018,Wilsonville Data Center,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00018,Wilsonville Data Center,generation_mix,Medium,Utility IRP / sustainability reports
DC-00018,Wilsonville Data Center,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00018,Wilsonville Data Center,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00026,Project Jarvis,utility,Medium,State PUC dockets / utility IRP
DC-00026,Project Jarvis,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00026,Project Jarvis,cooling_detail,High,Building permits / vendor case studies
DC-00026,Project Jarvis,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00026,Project Jarvis,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00026,Project Jarvis,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00026,Project Jarvis,latitude,Medium,Building permits / county GIS / OSM
DC-00026,Project Jarvis,longitude,Medium,Building permits / county GIS / OSM
DC-00026,Project Jarvis,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00026,Project Jarvis,generation_mix,Medium,Utility IRP / sustainability reports
DC-00026,Project Jarvis,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00026,Project Jarvis,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00052,Stargate UAE,utility,Medium,State PUC dockets / utility IRP
DC-00052,Stargate UAE,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00052,Stargate UAE,cooling_detail,High,Building permits / vendor case studies
DC-00052,Stargate UAE,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00052,Stargate UAE,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00052,Stargate UAE,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00052,Stargate UAE,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00052,Stargate UAE,generation_mix,Medium,Utility IRP / sustainability reports
DC-00052,Stargate UAE,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00052,Stargate UAE,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00016,Project Leo,utility,Medium,State PUC dockets / utility IRP
DC-00016,Project Leo,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00016,Project Leo,cooling_detail,High,Building permits / vendor case studies
DC-00016,Project Leo,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00016,Project Leo,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00016,Project Leo,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00016,Project Leo,latitude,Medium,Building permits / county GIS / OSM
DC-00016,Project Leo,longitude,Medium,Building permits / county GIS / OSM
DC-00016,Project Leo,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00016,Project Leo,generation_mix,Medium,Utility IRP / sustainability reports
DC-00016,Project Leo,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00016,Project Leo,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00020,Project Blue Marana,utility,Medium,State PUC dockets / utility IRP
DC-00020,Project Blue Marana,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00020,Project Blue Marana,cooling_detail,High,Building permits / vendor case studies
DC-00020,Project Blue Marana,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00020,Project Blue Marana,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00020,Project Blue Marana,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00020,Project Blue Marana,latitude,Medium,Building permits / county GIS / OSM
DC-00020,Project Blue Marana,longitude,Medium,Building permits / county GIS / OSM
DC-00020,Project Blue Marana,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00020,Project Blue Marana,generation_mix,Medium,Utility IRP / sustainability reports
DC-00020,Project Blue Marana,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00020,Project Blue Marana,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00037,Imperial Valley Project,latitude,Medium,Building permits / county GIS / OSM
DC-00037,Imperial Valley Project,longitude,Medium,Building permits / county GIS / OSM
DC-00048,Colossus xAI,utility,Medium,State PUC dockets / utility IRP
DC-00048,Colossus xAI,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00048,Colossus xAI,cooling_detail,High,Building permits / vendor case studies
DC-00048,Colossus xAI,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00048,Colossus xAI,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00048,Colossus xAI,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00048,Colossus xAI,latitude,Medium,Building permits / county GIS / OSM
DC-00048,Colossus xAI,longitude,Medium,Building permits / county GIS / OSM
DC-00048,Colossus xAI,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00048,Colossus xAI,generation_mix,Medium,Utility IRP / sustainability reports
DC-00048,Colossus xAI,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00048,Colossus xAI,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00046,Microsoft Fairwater Atlanta,latitude,Medium,Building permits / county GIS / OSM
DC-00046,Microsoft Fairwater Atlanta,longitude,Medium,Building permits / county GIS / OSM
DC-00040,Prime Phoenix Campus,utility,Medium,State PUC dockets / utility IRP
DC-00040,Prime Phoenix Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00040,Prime Phoenix Campus,cooling_detail,High,Building permits / vendor case studies
DC-00040,Prime Phoenix Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00040,Prime Phoenix Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00040,Prime Phoenix Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00040,Prime Phoenix Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00040,Prime Phoenix Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00040,Prime Phoenix Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00040,Prime Phoenix Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00040,Prime Phoenix Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00040,Prime Phoenix Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00051,Stargate Norway,utility,Medium,State PUC dockets / utility IRP
DC-00051,Stargate Norway,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00051,Stargate Norway,cooling_detail,High,Building permits / vendor case studies
DC-00051,Stargate Norway,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00051,Stargate Norway,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00051,Stargate Norway,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00051,Stargate Norway,latitude,Medium,Building permits / county GIS / OSM
DC-00051,Stargate Norway,longitude,Medium,Building permits / county GIS / OSM
DC-00051,Stargate Norway,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00051,Stargate Norway,generation_mix,Medium,Utility IRP / sustainability reports
DC-00051,Stargate Norway,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00051,Stargate Norway,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00042,NTT Mesa Campus,utility,Medium,State PUC dockets / utility IRP
DC-00042,NTT Mesa Campus,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
DC-00042,NTT Mesa Campus,cooling_detail,High,Building permits / vendor case studies
DC-00042,NTT Mesa Campus,gpu_generation,High,Earnings calls / supply chain reports / job postings
DC-00042,NTT Mesa Campus,cluster_size,Medium,Network topology papers / vendor reference architectures
DC-00042,NTT Mesa Campus,total_capex_billion,High,SEC 10-K/10-Q / press releases / bond prospectuses
DC-00042,NTT Mesa Campus,latitude,Medium,Building permits / county GIS / OSM
DC-00042,NTT Mesa Campus,longitude,Medium,Building permits / county GIS / OSM
DC-00042,NTT Mesa Campus,voltage_kv,Medium,Utility interconnection agreement / FERC filings
DC-00042,NTT Mesa Campus,generation_mix,Medium,Utility IRP / sustainability reports
DC-00042,NTT Mesa Campus,water_source_mgd,Medium,Water rights permits / sustainability reports
DC-00042,NTT Mesa Campus,network_detail,Medium,PeeringDB / submarine cable maps / earnings calls
DC-00043,Stream Phoenix,utility,Medium,State PUC dockets / utility IRP
DC-00043,Stream Phoenix,ppa_price_mwh,Medium,Utility regulatory filings / PPA announcements
