hyperscaler_category,facility_name,operator,tenant,city,state_province,country,status,capacity_mw,capacity_category,expected_online_date,project_cost_usd,cooling_type,power_source,purpose,source_url
Other/Unclassified,Tract Buckeye,Tract Data Centers,,,Arizona,United States,Approved/Permitted/Under construction,,Mega campus (>1,,,,,,"2,069 acres"
Other/Unclassified,AVAIO Perseus,AVAIO Digital,,Pittsburg,California,United States,Approved/Permitted/Under construction,99,Hyperscale (100-999 MW),2027,,,,AI/Hyperscale,https://www.avaiodigital.com/developments/pittsburg-california/
Other/Unclassified,Fort Meade Campus,,,Fort Meade,Florida,United States,Approved/Permitted/Under construction,,Unknown,,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/44-million-sq-ft-data-center-campus-gets-zoning-approval-in-fort-meade-florida/
Other/Unclassified,Project Jarvis,,,Fort Pierce,Florida,United States,Suspended,1000,Mega campus (>1,,1218,,,,Voted down 4-2
Meta,Meta Hyperion Campus,Meta,2026,,Louisiana,United States,Under Construction,5000,Mega campus (>1,,,,,Meta,$10B+ campus
Meta,Meta Montgomery,Meta,Meta,Montgomery,Alabama,United States,Approved/Permitted/Under construction,100-200,Hyperscale (100-999 MW),,$800 million,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/meta-to-build-800m-data-center-in-montgomery-alabama/
Meta,Meta Mesa,Meta,,Mesa,Arizona,United States,Approved/Permitted/Under construction,,Unknown,,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/google-files-to-build-second-data-center-at-mesa-campus-in-arizona/
Meta,Meta Hyperion,Meta,,,Louisiana,United States,Under Construction,5000,Mega campus (>1,,,,,Meta,
AWS,North Creek Tech Campus,Amazon,,,Virginia,United States,Planned,2700,Mega campus (>1,,,,,AWS,
AWS,AWS Gilroy,Amazon,AWS,Gilroy,California,United States,Approved/Permitted/Under construction,49-98,Large (51-99 MW),2026,,,,Cloud/AI,https://www.cityofgilroy.org/1019/15010/Gilroy-Data-Center-by-AWS/
AWS,Meta New Albany,Amazon/Microsoft/Google,$40 billion+,New Albany,Ohio,United States,Planned,,Mega campus (>1,,,,,,Cloud/AI
Crusoe,Crusoe Tallgrass Wyoming,Crusoe,,,Wyoming,United States,Planned,2700,Mega campus (>1,,,,,,
Crusoe,Crusoe Tallgrass,Crusoe,,,Wyoming,United States,Planned,2700,Mega campus (>1,,,,,,
Google,Google Project Pyramid,Google/Groot LLC,,,Arkansas,United States,Approved/Permitted/Under construction,,Hyperscale (100-999 MW),$10 billion,,,,Google,920 acres
Google,Imperial Valley Project,Imperial Valley Computer Manufacturing/Google,Google (unconfirmed),Imperial,California,United States,Approved/Permitted/Under construction,330,Hyperscale (100-999 MW),2027,$10 billion,,,AI/Hyperscale,https://www.imperialdatacenter.com/
Google,Google Ohio,Google,$10 billion+,,Ohio,United States,Planned,,Mega campus (>1,,,,,,Cloud/AI
Aligned,Aligned Waddell Campus,Aligned Data Centers,,Waddell,Arizona,United States,Approved/Permitted/Under construction,,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-data-center-in-phoenix-arizona/
Prime Data Centers,Prime Phoenix Campus,Prime Data Centers,,Tolleson,Arizona,United States,Approved/Permitted/Under construction,240,Hyperscale (100-999 MW),,$29 million,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/prime-data-centers-breaks-ground-on-three-out-of-five-buildings-at-its-240mw-campus-in-phoenix-arizona/
Vantage,Vantage Goodyear,Vantage Data Centers,,Goodyear,Arizona,United States,Approved/Permitted/Under construction,176,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/vantage-completes-construction-on-first-data-center-in-goodyear-arizona/
NTT,NTT Mesa Campus,NTT Global Data Centers,,Mesa,Arizona,United States,Approved/Permitted/Under construction,200,Hyperscale (100-999 MW),$300 million,,,,,"173 acres, 500-700MW secondary"
Stream Data Centers,Stream Phoenix,Stream Data Centers,,Goodyear,Arizona,United States,Approved/Permitted/Under construction,200,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/stream-dc-files-to-expand-phoenix-campus-to-200mw/
Microsoft,Microsoft Goodyear,Microsoft,,Goodyear,Arizona,United States,Expanding,,Unknown,250,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/owners-of-indoor-cannabis-farm-in-michigan-offer-site-up-for-data-center-use/
Microsoft,Microsoft Alviso,Microsoft,Microsoft,San Jose,California,United States,Approved/Permitted/Under construction,48,Medium (11-50 MW),2028,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/microsoft-breaks-ground-on-alviso-data-center-campus-in-san-jose-california/
Microsoft,Microsoft Fairwater Atlanta,Microsoft/QTS,Microsoft,Fayette County,Georgia,United States,Operating,268,Hyperscale (100-999 MW),2026,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/microsoft-fairwater-atlanta-building-4-268mw/
Apple,Apple Mesa,Apple,,Mesa,Arizona,United States,Operating,,Unknown,,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/aws-plots-four-data-centers-in-mesa-arizona/
xAI,Colossus xAI,xAI,xAI,Shelby,Tennessee,United States,Operating,300,Hyperscale (100-999 MW),2025,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/xai-colossus-supercomputer-memphis-tennessee/
Oracle,Stargate Abilene Phase 1,Crusoe/Oracle/OpenAI,,Abilene,Texas,United States,Under Construction,200,Mega campus (>1,,,,,OpenAI/Oracle,Phase 1 of 1.2GW
Oracle,Stargate Abilene Phase 2,Crusoe/Oracle/OpenAI,,Abilene,Texas,United States,Under Construction,1200,Mega campus (>1,,,,,OpenAI/Oracle,6 new buildings
Oracle,Stargate Norway,Stargate Consortium,OpenAI/Oracle,Kvandal/Narvik,,Norway,Planned,230,Hyperscale (100-999 MW),2026,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/stargate-norway-aims-lead-europes-ai-infrastructure/
Stargate,Stargate UAE,Stargate Consortium,,,,United Arab Emirates,Planned,1000,Mega campus (>1,,,,,OpenAI/Oracle/MGX,1GW cluster
