facility_id,facility_name,operator,tenant,hyperscaler_category,city,state_province,country,latitude,longitude,status,capacity_mw,capacity_category,expected_online_date,project_cost_usd,cooling_type,power_source,purpose,source_url,notes,tier
DC-00037,Meta Montgomery,Meta,Meta,Meta,Montgomery,Alabama,United States,,,Under Construction,150,Hyperscale (100-999 MW),,800000000.0,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/meta-to-build-800m-data-center-in-montgomery-alabama/,,Tier 2
DC-00038,AVAIO Perseus,AVAIO Digital,,AVAIO Digital,Pittsburg,California,United States,,,Under Construction,99,Hyperscale (100-999 MW),2027,,,,AI/Hyperscale,https://www.avaiodigital.com/developments/pittsburg-california/,"100% renewable, recycled water",Tier 3
DC-00039,AWS Gilroy,Amazon,AWS,AWS,Gilroy,California,United States,37.018684,-121.56053,Under Construction,73,Large (51-99 MW),2026,,,,Cloud/AI,https://www.cityofgilroy.org/1019/15010/Gilroy-Data-Center-by-AWS/,Community opposition,Tier 3
DC-00040,Microsoft Alviso,Microsoft,Microsoft,Microsoft,San Jose,California,United States,,,Under Construction,48,Medium (11-50 MW),2028,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/microsoft-breaks-ground-on-alviso-data-center-campus-in-san-jose-california/,,Tier 3
DC-00041,Clarksville Data Center,Serverfarm,,Serverfarm,Clarksville,Arkansas,United States,34.148582,-90.541466,Planned,,Hyperscale (100-999 MW),,8000000000.0,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/,Phase 1 approved,Tier 3
DC-00042,Project Blue Tucson,Beale Infrastructure,,Beale Infrastructure,Tucson,Arizona,United States,32.05091,-110.783,Under Construction,,Unknown,$3.6 billion,,,,AI/Hyperscale,https://news.azpm.org/p/azpmnews/2026/5/28/229919-arizona-water-officials-approve-wells-tied-to-project-blue-data-center/,"Water concerns, 31M gal/yr",Tier 3
DC-00043,Compass Goodyear,Compass Data Centers,,Compass Data Centers,Goodyear,Arizona,United States,,,Under Construction,,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/compass-datacenters-starts-build-hyperscale-arizona-campus/,,Tier 3
DC-00044,Tract Buckeye,Tract Data Centers,,Tract,,Arizona,United States,,,Under Construction,,Mega campus (>1,,,,,,"2,069 acres",AI/Hyperscale,Tier 3
DC-00045,Fort Meade Campus,,,Other/Unclassified,Fort Meade,Florida,United States,,,Under Construction,,Unknown,,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/44-million-sq-ft-data-center-campus-gets-zoning-approval-in-fort-meade-florida/,"1,300 acres",Tier 3
DC-00046,Meta Mesa,Meta,,Meta,Mesa,Arizona,United States,,,Under Construction,,Unknown,,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/google-files-to-build-second-data-center-at-mesa-campus-in-arizona/,,Tier 3
DC-00047,Meta New Albany,Amazon/Microsoft/Google,$40 billion+,Meta,New Albany,Ohio,United States,,,Planned,,Mega campus (>1,,,,,,Cloud/AI,,Tier 3
DC-00048,Google Project Pyramid,Google/Groot LLC,,Google,,Arkansas,United States,35.11835,-90.2123,Under Construction,,Hyperscale (100-999 MW),$10 billion,,,,Google,920 acres,AI/Cloud,Tier 3
DC-00049,Google Ohio,Google,$10 billion+,Google,,Ohio,United States,,,Planned,,Mega campus (>1,,,,,,Cloud/AI,,Tier 3
DC-00050,Aligned Waddell Campus,Aligned Data Centers,,Aligned,Waddell,Arizona,United States,,,Under Construction,,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-data-center-in-phoenix-arizona/,,Tier 3
DC-00051,Microsoft Goodyear,Microsoft,,Microsoft,Goodyear,Arizona,United States,,,Expanding,,Unknown,250,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/owners-of-indoor-cannabis-farm-in-michigan-offer-site-up-for-data-center-use/,,Tier 3
DC-00052,Apple Mesa,Apple,,Apple,Mesa,Arizona,United States,,,Operating,,Unknown,,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/aws-plots-four-data-centers-in-mesa-arizona/,,Tier 3
