cik,name,period,fy,fp,form,revenue,rd_expense,sm_expense,ga_expense,sbc,operating_income,net_income,ocf,capex,acquisitions,cash,short_term_investments,total_assets,total_liabilities,equity,deferred_rev_current,deferred_rev_noncurrent,rpo,debt_current,debt_noncurrent,lease_liab_current,lease_liab_noncurrent,capex_intensity,rd_intensity,sbc_pct_revenue,operating_margin,net_margin,ocf_to_capex,debt_to_assets,debt_to_equity,total_deferred_revenue,rpo_to_deferred_ratio,fcf_margin,total_debt,cash_and_investments,cash_to_debt
1018724,AMAZON COM INC,20250630,2025,Q2,10-Q,323369000000.0,,,5783000000.0,23831000000.0,37576000000.0,70623000000.0,121137000000.0,107656000000.0,,78779000000.0,,682170000000.0,,333775000000.0,21662000000.0,,,,52623000000.0,,,,,0.07369599435938509,0.11620161487341087,0.2183975582074967,,,,21662000000.0,,,52623000000.0,78779000000.0,1.497045018337989
1018724,AMAZON COM INC,20250930,2025,Q3,10-Q,503538000000.0,,,8496000000.0,23335000000.0,54998000000.0,76482000000.0,130691000000.0,120131000000.0,,78779000000.0,,727921000000.0,,369631000000.0,21113000000.0,,,,52623000000.0,,,,,0.0463420834177361,0.10922313708200772,0.15188923179581282,,,,21113000000.0,,,52623000000.0,78779000000.0,1.497045018337989
1018724,AMAZON COM INC,20251231,2025,FY,10-K,716924000000.0,,,11816000000.0,24023000000.0,79975000000.0,77670000000.0,139514000000.0,131819000000.0,,86810000000.0,,818042000000.0,,411065000000.0,20576000000.0,,,,65648000000.0,,,,,0.03350843325094431,0.11155296795755199,0.10833784334183261,,,,20576000000.0,,,65648000000.0,86810000000.0,1.322355593468194
1045810,NVIDIA CORP,20230131,2022,FY,10-K,,7339000000.0,,,2710000000.0,10041000000.0,9752000000.0,9108000000.0,,,3389000000.0,,44187000000.0,19081000000.0,26612000000.0,,,,,10946000000.0,,902000000.0,,,,,,,,,0.0,,,10946000000.0,3389000000.0,0.3096108167367075
1045810,NVIDIA CORP,20230430,2024,Q1,10-Q,,1875000000.0,,,,2476000000.0,2043000000.0,2911000000.0,,,5079000000.0,,44460000000.0,19940000000.0,26612000000.0,,,,,9704000000.0,,939000000.0,,,,,,,,,0.0,,,9704000000.0,5079000000.0,0.5233924154987634
1045810,NVIDIA CORP,20230731,2024,Q2,10-Q,,3916000000.0,,,1576000000.0,8941000000.0,8232000000.0,9259000000.0,,,5783000000.0,,49555000000.0,22054000000.0,27501000000.0,,,,,9703000000.0,,1041000000.0,,,,,,,,,0.0,,,9703000000.0,5783000000.0,0.596001236730908
1045810,NVIDIA CORP,20231031,2024,Q3,10-Q,,6210000000.0,,,2555000000.0,19358000000.0,17475000000.0,16591000000.0,1324000000.0,,5519000000.0,,54148000000.0,20883000000.0,33265000000.0,,,,,9703000000.0,,1091000000.0,,,,,,,,,0.0,,,9703000000.0,5519000000.0,0.5687931567556426
1045810,NVIDIA CORP,20240131,2023,FY,10-K,,8675000000.0,,,3549000000.0,32972000000.0,29760000000.0,28090000000.0,1833000000.0,,7280000000.0,,65728000000.0,22750000000.0,42978000000.0,,,,,9703000000.0,,1119000000.0,,,,,,,,,0.0,,,9703000000.0,7280000000.0,0.7502834174997424
1045810,NVIDIA CORP,20240430,2025,Q1,10-Q,,2720000000.0,,,1011000000.0,17047000000.0,29760000000.0,15345000000.0,369000000.0,,7587000000.0,,77072000000.0,27930000000.0,49142000000.0,,,,,8460000000.0,,1281000000.0,,,,,,,,,0.0,,,8460000000.0,7587000000.0,0.8968085106382979
1045810,NVIDIA CORP,20240731,2025,Q2,10-Q,,5810000000.0,,,2164000000.0,35896000000.0,31480000000.0,29833000000.0,1346000000.0,,8563000000.0,,85227000000.0,27070000000.0,58157000000.0,,,,,8461000000.0,,1304000000.0,,,,,,,,,0.0,,,8461000000.0,8563000000.0,1.0120553126108025
1045810,NVIDIA CORP,20241031,2025,Q3,10-Q,,9200000000.0,,,3416000000.0,57977000000.0,50789000000.0,47460000000.0,2159000000.0,,9107000000.0,,96013000000.0,30114000000.0,65899000000.0,,,,,8462000000.0,,1490000000.0,,,,,,,,,0.0,,,8462000000.0,9107000000.0,1.0762231151028125
1045810,NVIDIA CORP,20250131,2024,FY,10-K,,12914000000.0,,,4737000000.0,82875000000.0,72880000000.0,64089000000.0,3236000000.0,,8589000000.0,,111601000000.0,32274000000.0,79327000000.0,,,,,8463000000.0,,1519000000.0,,,,,,,,,0.0,,,8463000000.0,8589000000.0,1.0148883374689825
1045810,NVIDIA CORP,20250430,2026,Q1,10-Q,,3989000000.0,,,1474000000.0,22054000000.0,18775000000.0,27414000000.0,1227000000.0,,15234000000.0,,125254000000.0,41411000000.0,83843000000.0,,,,,8464000000.0,,1521000000.0,,,,,,,,,0.0,,,8464000000.0,15234000000.0,1.7998582230623819
1045810,NVIDIA CORP,20250731,2026,Q2,10-Q,,8280000000.0,,,3099000000.0,54299000000.0,45197000000.0,42779000000.0,3122000000.0,,11639000000.0,,140740000000.0,40609000000.0,100131000000.0,,,,,8466000000.0,,1831000000.0,,,,,,,,,0.0,,,8466000000.0,11639000000.0,1.3747932908103
1045810,NVIDIA CORP,20251031,2026,Q3,10-Q,,12985000000.0,,,4753000000.0,92567000000.0,77107000000.0,66530000000.0,4758000000.0,,11486000000.0,,161148000000.0,42251000000.0,118897000000.0,,,,,8463000000.0,,2014000000.0,,,,,,,,,0.0,,,8463000000.0,11486000000.0,1.3572019378470992
1045810,NVIDIA CORP,20260131,2026,FY,10-K,,18497000000.0,,,6386000000.0,139297000000.0,120067000000.0,102718000000.0,6042000000.0,,10605000000.0,,206803000000.0,49510000000.0,157293000000.0,,,,,8463000000.0,,2572000000.0,,,,,,,,,0.0,,,8463000000.0,10605000000.0,1.2531017369727047
1101239,EQUINIX INC,20221231,2022,FY,10-K,7263105000.0,,,1498701000.0,403983000.0,1200528000.0,704345000.0,2963182000.0,,,1906421000.0,,30310742000.0,18804910000.0,11505966000.0,,,,,,144029000.0,1272812000.0,,,0.055621252893906944,0.16529129070831278,0.09697574246826943,,,,0.0,,,0.0,1906421000.0,
1101239,EQUINIX INC,20230331,2023,Q1,10-Q,1998209000.0,,,394874000.0,98715000.0,384121000.0,258786000.0,691408000.0,,,2642578000.0,,31274198000.0,19245339000.0,12029048000.0,,,,,,141558000.0,1272812000.0,,,0.049401739257505094,0.1922326443330002,0.12950897528736985,,,,0.0,,,0.0,2642578000.0,
1101239,EQUINIX INC,20230630,2023,Q2,10-Q,4016617000.0,,,801303000.0,203261000.0,716507000.0,465816000.0,1432706000.0,,,2342177000.0,,31566945000.0,19517945000.0,12024109000.0,,,,,,139661000.0,1403269000.0,,,0.05060502407872097,0.17838569124215728,0.1159722223951151,,,,0.0,,,0.0,2342177000.0,
1101239,EQUINIX INC,20230930,2023,Q3,10-Q,6077647000.0,,,1205193000.0,301707000.0,1096858000.0,741610000.0,2217881000.0,,,2500816000.0,,31684602000.0,19773043000.0,11886884000.0,,,,,,139538000.0,1399852000.0,,,0.049642073651200866,0.18047412098794155,0.12202255247795735,,,,0.0,,,0.0,2500816000.0,
1101239,EQUINIX INC,20231231,2023,FY,10-K,8188136000.0,,,1654042000.0,407536000.0,1443274000.0,969178000.0,3216595000.0,,,2095712000.0,,32650724000.0,20137225000.0,12488894000.0,,,,,,139538000.0,1331333000.0,,,0.04977152309145818,0.1762640483743797,0.11836369107694351,,,,0.0,,,0.0,2095712000.0,
1101239,EQUINIX INC,20240331,2024,Q1,10-Q,2127000000.0,,,444000000.0,101000000.0,384000000.0,,692000000.0,,,2643000000.0,,32651000000.0,20137000000.0,,,,,,,136000000.0,1331000000.0,,,0.04748472026328162,0.18053596614950634,,,,,0.0,,,0.0,2643000000.0,
1101239,EQUINIX INC,20240630,2024,Q2,10-Q,4286000000.0,,,881000000.0,226000000.0,800000000.0,532000000.0,1510000000.0,,,2342000000.0,,32854000000.0,20551000000.0,18915000000.0,,,,,,141000000.0,1331000000.0,,,0.05272981801213252,0.18665422305179655,0.1241250583294447,,,,0.0,,,0.0,2342000000.0,
1101239,EQUINIX INC,20240930,2024,Q3,10-Q,6487000000.0,,,1315000000.0,348000000.0,1225000000.0,829000000.0,2268000000.0,,,2776000000.0,451000000.0,35438000000.0,21826000000.0,13588000000.0,,,,,,149000000.0,1366000000.0,,,0.05364575304455064,0.18883921689532912,0.12779404963773702,,,,0.0,,,0.0,3227000000.0,
1101239,EQUINIX INC,20241231,2024,FY,10-K,8748000000.0,,,1766000000.0,462000000.0,1443000000.0,969000000.0,3249000000.0,,,3081000000.0,527000000.0,35085000000.0,21533000000.0,13528000000.0,,,,,,144000000.0,1331000000.0,,,0.05281207133058985,0.1649519890260631,0.1107681755829904,,,,0.0,,,0.0,3608000000.0,
1101239,EQUINIX INC,20250331,2025,Q1,10-Q,2225000000.0,,,444000000.0,113000000.0,458000000.0,343000000.0,809000000.0,,,3081000000.0,723000000.0,36079000000.0,22166000000.0,13889000000.0,,,,,,150000000.0,1380000000.0,,,0.05078651685393258,0.20584269662921348,0.1541573033707865,,,,0.0,,,0.0,3804000000.0,
1101239,EQUINIX INC,20250630,2025,Q2,10-Q,4481000000.0,,,889000000.0,240000000.0,952000000.0,711000000.0,1753000000.0,,,3660000000.0,872000000.0,38849000000.0,24742000000.0,14084000000.0,,,,,,158000000.0,1378000000.0,,,0.05355947333184557,0.2124525775496541,0.15866993974559251,,,,0.0,,,0.0,4532000000.0,
1101239,EQUINIX INC,20250930,2025,Q3,10-Q,6797000000.0,,,1359000000.0,370000000.0,1426000000.0,1085000000.0,2767000000.0,,,3081000000.0,854000000.0,38060000000.0,23880000000.0,14157000000.0,,,,,,159000000.0,1334000000.0,,,0.05443578049139326,0.20979844048845078,0.1596292481977343,,,,0.0,,,0.0,3935000000.0,
1101239,EQUINIX INC,20251231,2025,FY,10-K,9217000000.0,,,1840000000.0,498000000.0,1848000000.0,1350000000.0,3911000000.0,,,3081000000.0,1500000000.0,40141000000.0,25963000000.0,14156000000.0,,,,,,155000000.0,1331000000.0,,,0.054030595638494085,0.2004990777910383,0.1464684821525442,,,,0.0,,,0.0,4581000000.0,
1108524,"SALESFORCE, INC.",20230131,2022,FY,10-K,31352000000.0,5055000000.0,,2598000000.0,3279000000.0,1030000000.0,4072000000.0,7111000000.0,798000000.0,,7016000000.0,,98849000000.0,40490000000.0,58359000000.0,17376000000.0,,,,10592000000.0,686000000.0,2897000000.0,0.025452921663689718,0.16123373309517733,0.10458662924215362,0.03285276856340903,0.12988007144679764,8.911027568922306,,,17376000000.0,,0.20135876499106914,10592000000.0,7016000000.0,0.6623867069486404
1108524,"SALESFORCE, INC.",20230430,2024,Q1,10-Q,8247000000.0,1318000000.0,,656000000.0,776000000.0,412000000.0,199000000.0,4491000000.0,243000000.0,,9155000000.0,,98849000000.0,40490000000.0,58876000000.0,17376000000.0,,,,9421000000.0,591000000.0,2897000000.0,0.029465260094579847,0.1598156905541409,0.09409482235964593,0.049957560324966656,0.024129986661816417,18.48148148148148,,,17376000000.0,,0.5150963986904329,9421000000.0,9155000000.0,0.9717652053922089
1108524,"SALESFORCE, INC.",20230731,2024,Q2,10-Q,16850000000.0,2647000000.0,,1303000000.0,1627000000.0,1888000000.0,1466000000.0,5299000000.0,423000000.0,,7016000000.0,,98849000000.0,40490000000.0,60098000000.0,17376000000.0,,,,9419000000.0,590000000.0,2897000000.0,0.02510385756676558,0.1570919881305638,0.09655786350148368,0.11204747774480713,0.08700296735905044,12.527186761229315,,,17376000000.0,,0.28937685459940654,9419000000.0,7016000000.0,0.7448773755175708
1108524,"SALESFORCE, INC.",20231031,2024,Q3,10-Q,25570000000.0,3927000000.0,,1967000000.0,2470000000.0,3389000000.0,2690000000.0,6831000000.0,589000000.0,,7016000000.0,,98849000000.0,40490000000.0,60098000000.0,17376000000.0,,,,9419000000.0,590000000.0,2897000000.0,0.023034806413766134,0.153578412201799,0.0965975752835354,0.13253813062182246,0.10520140789988268,11.597623089983022,,,17376000000.0,,0.24411419632381698,9419000000.0,7016000000.0,0.7448773755175708
1108524,"SALESFORCE, INC.",20240131,2023,FY,10-K,34857000000.0,5055000000.0,,2598000000.0,3279000000.0,5011000000.0,4136000000.0,10234000000.0,798000000.0,,8472000000.0,,99823000000.0,40490000000.0,59841000000.0,19003000000.0,,,,9419000000.0,590000000.0,2897000000.0,0.022893536448919873,0.14502108615199244,0.09407005766417076,0.14375878589666352,0.11865622400091803,12.824561403508772,,,19003000000.0,,0.2707060274837192,9419000000.0,8472000000.0,0.8994585412464168
1108524,"SALESFORCE, INC.",20240430,2025,Q1,10-Q,9133000000.0,1368000000.0,,647000000.0,750000000.0,1709000000.0,1533000000.0,6247000000.0,243000000.0,,9958000000.0,,99823000000.0,40177000000.0,60946000000.0,19003000000.0,,,,8429000000.0,568000000.0,2644000000.0,0.02660681046753531,0.14978648855797658,0.0821197853936275,0.1871236176502792,0.16785284134457462,25.707818930041153,,,19003000000.0,,0.657396255337786,8429000000.0,9958000000.0,1.1813975560564718
1108524,"SALESFORCE, INC.",20240731,2025,Q2,10-Q,18458000000.0,2717000000.0,,1358000000.0,1560000000.0,3492000000.0,2962000000.0,7139000000.0,423000000.0,,8472000000.0,,99823000000.0,40177000000.0,62143000000.0,19003000000.0,,,,8430000000.0,559000000.0,2644000000.0,0.022916892404377505,0.1471990464839094,0.08451619893812981,0.1891862606999675,0.16047242388124391,16.87706855791962,,,19003000000.0,,0.3638530718387691,8430000000.0,8472000000.0,1.004982206405694
1108524,"SALESFORCE, INC.",20241031,2025,Q3,10-Q,27902000000.0,4073000000.0,,2069000000.0,2380000000.0,5385000000.0,4489000000.0,9122000000.0,589000000.0,,8472000000.0,,99823000000.0,40177000000.0,63114000000.0,19003000000.0,,,,8432000000.0,572000000.0,2644000000.0,0.021109597878288294,0.14597519891047236,0.08529854490717512,0.19299691778367142,0.16088452440685255,15.487266553480476,,,19003000000.0,,0.3058203712995484,8432000000.0,8472000000.0,1.0047438330170777
1108524,"SALESFORCE, INC.",20250131,2024,FY,10-K,37895000000.0,5493000000.0,,2836000000.0,3279000000.0,7205000000.0,6197000000.0,13092000000.0,798000000.0,,8848000000.0,,102928000000.0,41755000000.0,64576000000.0,20743000000.0,,,,8433000000.0,579000000.0,2644000000.0,0.021058187095922946,0.14495316004749967,0.08652856577384879,0.19013062409288825,0.16353080881382767,16.406015037593985,,,20743000000.0,,0.3244227470642565,8433000000.0,8848000000.0,1.0492114312818688
1108524,"SALESFORCE, INC.",20250430,2026,Q1,10-Q,9829000000.0,1460000000.0,,697000000.0,814000000.0,1942000000.0,1541000000.0,6476000000.0,179000000.0,,10928000000.0,,102928000000.0,41755000000.0,65490000000.0,20743000000.0,,,,8435000000.0,593000000.0,2380000000.0,0.018211415199918608,0.1485400345915149,0.08281615627225557,0.19757859395665886,0.1567809543188524,36.17877094972067,,,20743000000.0,,0.6406552039881982,8435000000.0,10928000000.0,1.2955542382928276
1108524,"SALESFORCE, INC.",20250731,2026,Q2,10-Q,20065000000.0,2941000000.0,,1431000000.0,1607000000.0,4274000000.0,3428000000.0,7216000000.0,314000000.0,,10365000000.0,,102928000000.0,41755000000.0,66701000000.0,20743000000.0,,,,8436000000.0,580000000.0,2380000000.0,0.015649140294044357,0.14657363568402693,0.08008970844754548,0.2130077248940942,0.1708447545477199,22.980891719745223,,,20743000000.0,,0.3439820583104909,8436000000.0,10365000000.0,1.2286628733997156
1108524,"SALESFORCE, INC.",20251031,2026,Q3,10-Q,30324000000.0,4374000000.0,,2098000000.0,2426000000.0,6462000000.0,5514000000.0,9532000000.0,504000000.0,,8978000000.0,,102928000000.0,41755000000.0,67448000000.0,20743000000.0,,,,8438000000.0,579000000.0,2380000000.0,0.01662049861495845,0.1442421844083894,0.08000263817438333,0.21309853581321725,0.18183616937079541,18.91269841269841,,,20743000000.0,,0.29771797915842235,8438000000.0,8978000000.0,1.0639962076321403
1108524,"SALESFORCE, INC.",20260131,2025,FY,10-K,41525000000.0,5993000000.0,,3000000000.0,3509000000.0,8331000000.0,7457000000.0,14996000000.0,736000000.0,,8848000000.0,,112305000000.0,53163000000.0,68835000000.0,24317000000.0,,,,10439000000.0,579000000.0,2380000000.0,0.017724262492474413,0.1443226971703793,0.08450331125827815,0.20062612883804937,0.179578567128236,20.375,,,24317000000.0,,0.3434075857916917,10439000000.0,8848000000.0,0.8475907653989846
1297996,"DIGITAL REALTY TRUST, INC.",20221231,2022,FY,10-K,,,,422167000.0,,694009000.0,1748359000.0,1706541000.0,,,142698000.0,,41484998000.0,21862854000.0,18004568000.0,,,,,,,,,,,,,,,,0.0,,,0.0,142698000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20230331,2023,Q1,10-Q,,,,111920000.0,,177334000.0,74881000.0,349726000.0,,,141773000.0,,41953067000.0,22799621000.0,17583334000.0,,,,,,,,,,,,,,,,0.0,,,0.0,141773000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20230630,2023,Q2,10-Q,,,,221536000.0,,332194000.0,190910000.0,814114000.0,,,141773000.0,,42388734000.0,22916154000.0,17621456000.0,,,,,,,,,,,,,,,,0.0,,,0.0,141773000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20230930,2023,Q3,10-Q,,,,332257000.0,,468988000.0,940828000.0,1202964000.0,,,1062050000.0,,41932517000.0,21895635000.0,18190026000.0,,,,,,,,,,,,,,,,0.0,,,0.0,1062050000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20231231,2023,FY,10-K,,,,449056000.0,,694009000.0,1748359000.0,1702228000.0,,,1625495000.0,,44113258000.0,23116937000.0,19117534000.0,,,,,,,,,,,,,,,,0.0,,,0.0,1625495000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20240331,2024,Q1,10-Q,,,,115210000.0,,177334000.0,287708000.0,352275000.0,,,1625495000.0,,44113258000.0,23116937000.0,19117534000.0,,,,,,,,,,,,,,,,0.0,,,0.0,1625495000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20240630,2024,Q2,10-Q,,,,235605000.0,,332194000.0,369428000.0,925487000.0,,,2282062000.0,,44113258000.0,23116937000.0,20537503000.0,,,,,,,,,,,,,,,,0.0,,,0.0,2282062000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20240930,2024,Q3,10-Q,,,,353207000.0,,390420000.0,940828000.0,1492002000.0,,,2175605000.0,,45295391000.0,23116937000.0,21246111000.0,,,,,,,,,,,,,,,,0.0,,,0.0,2175605000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20241231,2024,FY,10-K,,,,480023000.0,,589968000.0,969548000.0,2261477000.0,,,3870891000.0,,45283616000.0,23116937000.0,21340397000.0,,,,,,,,,,,,,,,,0.0,,,0.0,3870891000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20250331,2025,Q1,10-Q,,,,123540000.0,,195750000.0,287708000.0,399085000.0,,,3870891000.0,,45283616000.0,22107836000.0,21340397000.0,,,,,,,,,,,,,,,,0.0,,,0.0,3870891000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20250630,2025,Q2,10-Q,,,,259557000.0,,407447000.0,1166130000.0,1040322000.0,,,3870891000.0,,48714995000.0,23853149000.0,22914527000.0,,,,,,,,,,,,,,,,0.0,,,0.0,3870891000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20250930,2025,Q3,10-Q,,,,401262000.0,,545868000.0,1235942000.0,1693183000.0,,,3870891000.0,,48728634000.0,23739412000.0,23025030000.0,,,,,,,,,,,,,,,,0.0,,,0.0,3870891000.0,
1297996,"DIGITAL REALTY TRUST, INC.",20251231,2025,FY,10-K,,,,565482000.0,,658492000.0,1336589000.0,2412136000.0,,,3870891000.0,,49410468000.0,24564494000.0,22925663000.0,,,,,,,,,,,,,,,,0.0,,,0.0,3870891000.0,
1326801,"META PLATFORMS, INC.",20221231,2022,FY,10-K,117929000000.0,35338000000.0,,11816000000.0,11992000000.0,56946000000.0,39370000000.0,57683000000.0,31431000000.0,,17576000000.0,,185727000000.0,60014000000.0,128290000000.0,,,,,9923000000.0,1367000000.0,15301000000.0,0.2665247733805934,0.29965487708706084,0.1016883039795131,0.4828837690474777,0.3338449405998525,1.8352263688714963,,,0.0,,0.22260851868497147,9923000000.0,17576000000.0,1.771238536732843
1326801,"META PLATFORMS, INC.",20230331,2023,Q1,10-Q,28645000000.0,9381000000.0,,2885000000.0,3051000000.0,11484000000.0,7465000000.0,14076000000.0,6842000000.0,,14886000000.0,,185727000000.0,60014000000.0,125713000000.0,,,,,9925000000.0,1479000000.0,16171000000.0,0.23885494850759295,0.327491708849712,0.10651073485774132,0.4009076627683714,0.26060394484203175,2.0572931891259865,,,0.0,,0.25253971024611627,9925000000.0,14886000000.0,1.4998488664987406
1326801,"META PLATFORMS, INC.",20230630,2023,Q2,10-Q,60645000000.0,18725000000.0,,7049000000.0,7111000000.0,24351000000.0,14152000000.0,31307000000.0,13058000000.0,,28785000000.0,,206688000000.0,72655000000.0,134033000000.0,,,,,18382000000.0,1396000000.0,16440000000.0,0.21531865776238768,0.30876411905350815,0.11725616291532691,0.40153351471679444,0.23335806744166873,2.3975340787256854,,,0.0,,0.3009151620084096,18382000000.0,28785000000.0,1.565934065934066
1326801,"META PLATFORMS, INC.",20230930,2023,Q3,10-Q,94791000000.0,27966000000.0,,9119000000.0,10603000000.0,41841000000.0,25081000000.0,51709000000.0,22388000000.0,,36890000000.0,,216274000000.0,73401000000.0,142873000000.0,,,,,18383000000.0,1460000000.0,16374000000.0,0.2361827599666635,0.2950280089881951,0.11185661085968077,0.44140266480995033,0.2645926301020139,2.3096748257995356,,,0.0,,0.3093226150161935,18383000000.0,36890000000.0,2.0067453625632377
1326801,"META PLATFORMS, INC.",20231231,2023,FY,10-K,134902000000.0,38483000000.0,,11816000000.0,14027000000.0,62871000000.0,39370000000.0,71113000000.0,31431000000.0,,41862000000.0,,229623000000.0,76455000000.0,153168000000.0,,,,,18385000000.0,1623000000.0,17226000000.0,0.2329913566885591,0.2852663414923426,0.10397918488977183,0.4660494284740033,0.2918414849298009,2.2625115331997074,,,0.0,,0.2941542749551526,18385000000.0,41862000000.0,2.2769649170519446
1326801,"META PLATFORMS, INC.",20240331,2024,Q1,10-Q,36455000000.0,9978000000.0,,3455000000.0,3562000000.0,17664000000.0,12369000000.0,19246000000.0,6823000000.0,,41862000000.0,,229623000000.0,76455000000.0,153168000000.0,,,,,18387000000.0,1676000000.0,17570000000.0,0.18716225483472776,0.27370731038266355,0.0977095048690166,0.48454258675078865,0.33929502125908656,2.8207533343104205,,,0.0,,0.3407762995473872,18387000000.0,41862000000.0,2.2767172458802416
1326801,"META PLATFORMS, INC.",20240630,2024,Q2,10-Q,75527000000.0,20515000000.0,,7114000000.0,8178000000.0,36999000000.0,25834000000.0,38616000000.0,14573000000.0,,41862000000.0,,230238000000.0,76455000000.0,156763000000.0,,,,,18389000000.0,1917000000.0,17685000000.0,0.1929508652534855,0.27162471698862656,0.10827915844664822,0.4898777920478769,0.3420498629629139,2.649831880875592,,,0.0,,0.31833648893773087,18389000000.0,41862000000.0,2.2764696285823045
1326801,"META PLATFORMS, INC.",20240930,2024,Q3,10-Q,116116000000.0,31693000000.0,,9119000000.0,12428000000.0,58778000000.0,41522000000.0,63340000000.0,22831000000.0,,43852000000.0,,256408000000.0,91879000000.0,164529000000.0,,,,,28823000000.0,2016000000.0,18208000000.0,0.19662234317406732,0.2729425746667126,0.1070309001343484,0.5062006958558682,0.3575906851768921,2.7742981034558274,,,0.0,,0.34886665059078853,28823000000.0,43852000000.0,1.5214238628872776
