name,period,fy,fp,form,revenue,sbc,sbc_pct_revenue,net_income,rd_expense,rd_intensity,operating_margin
ALPHABET INC.,20221231,2022,FY,10-K,282836000000.0,19362000000.0,0.06845663211189523,76033000000.0,39500000000.0,0.13965690364734334,0.32476417429181575
ALPHABET INC.,20230331,2023,Q1,10-Q,69787000000.0,5284000000.0,0.07571610758450714,16436000000.0,11468000000.0,0.1643285998824996,0.3148580681215699
ALPHABET INC.,20230630,2023,Q2,10-Q,144391000000.0,11058000000.0,0.07658372059200366,33419000000.0,22056000000.0,0.1527519028194278,0.3129765705618771
ALPHABET INC.,20230930,2023,Q3,10-Q,221084000000.0,16801000000.0,0.07599373993595195,53108000000.0,33314000000.0,0.15068480758444755,0.31267753433084255
ALPHABET INC.,20231231,2023,FY,10-K,307394000000.0,22460000000.0,0.07306583732929074,76033000000.0,45427000000.0,0.14778102370247956,0.311840829684379
ALPHABET INC.,20240331,2024,Q1,10-Q,80539000000.0,5284000000.0,0.0656079663268727,23662000000.0,11903000000.0,0.1477917530637331,0.3463787730167993
ALPHABET INC.,20240630,2024,Q2,10-Q,165281000000.0,11129000000.0,0.06733381332397553,47281000000.0,23763000000.0,0.14377333147790733,0.34832194868133665
ALPHABET INC.,20240930,2024,Q3,10-Q,253549000000.0,16975000000.0,0.0669495837096577,73582000000.0,36210000000.0,0.14281263187786186,0.34875704498933147
ALPHABET INC.,20241231,2024,FY,10-K,350018000000.0,22785000000.0,0.065096652172174,100118000000.0,49326000000.0,0.14092418104211785,0.34644789696529893
ALPHABET INC.,20250331,2025,Q1,10-Q,90234000000.0,5516000000.0,0.061129951016246645,34540000000.0,13556000000.0,0.15023162001019572,0.3621916350821198
ALPHABET INC.,20250630,2025,Q2,10-Q,,11514000000.0,,62736000000.0,27364000000.0,,
ALPHABET INC.,20250930,2025,Q3,10-Q,,17882000000.0,,97715000000.0,42515000000.0,,
ALPHABET INC.,20251231,2025,FY,10-K,,24953000000.0,,132170000000.0,61087000000.0,,
AMAZON COM INC,20221231,2022,FY,10-K,513983000000.0,19621000000.0,0.03817441432887858,33364000000.0,,,0.04840432465665207
AMAZON COM INC,20230331,2023,Q1,10-Q,127358000000.0,21119000000.0,0.16582389798834782,21413000000.0,,,0.05117856750263038
AMAZON COM INC,20230630,2023,Q2,10-Q,261741000000.0,23037000000.0,0.08801448760415831,13072000000.0,,,0.04758520827841263
AMAZON COM INC,20230930,2023,Q3,10-Q,404824000000.0,23310000000.0,0.05758057822658735,20079000000.0,,,0.05840315791553861
AMAZON COM INC,20231231,2023,FY,10-K,574785000000.0,24023000000.0,0.04179475803996277,33364000000.0,,,0.0641144079960333
AMAZON COM INC,20240331,2024,Q1,10-Q,143313000000.0,24236000000.0,0.16911236245141753,37684000000.0,,,0.10680817511321374
AMAZON COM INC,20240630,2024,Q2,10-Q,291290000000.0,23831000000.0,0.08181193999107418,44419000000.0,,,0.10291805417281746
AMAZON COM INC,20240930,2024,Q3,10-Q,450167000000.0,23335000000.0,0.051836318521793025,49868000000.0,,,0.10527204348608406
AMAZON COM INC,20241231,2024,FY,10-K,637959000000.0,24023000000.0,0.037656024916961746,59248000000.0,,,0.1075194487420038
AMAZON COM INC,20250331,2025,Q1,10-Q,155667000000.0,24236000000.0,0.1556913154361554,65944000000.0,,,0.11823315153500742
AMAZON COM INC,20250630,2025,Q2,10-Q,323369000000.0,23831000000.0,0.07369599435938509,70623000000.0,,,0.11620161487341087
AMAZON COM INC,20250930,2025,Q3,10-Q,503538000000.0,23335000000.0,0.0463420834177361,76482000000.0,,,0.10922313708200772
AMAZON COM INC,20251231,2025,FY,10-K,716924000000.0,24023000000.0,0.03350843325094431,77670000000.0,,,0.11155296795755199
APPLIED MATERIALS INC /DE,20230131,2023,Q1,10-Q,6739000000.0,148000000.0,0.02196171538803977,1792000000.0,771000000.0,0.11440866597418015,0.29321857842409854
APPLIED MATERIALS INC /DE,20230430,2023,Q2,10-Q,13369000000.0,261000000.0,0.019522776572668113,3328000000.0,1546000000.0,0.11564066123120652,0.290298451641858
APPLIED MATERIALS INC /DE,20230731,2023,Q3,10-Q,19794000000.0,375000000.0,0.01894513488936041,4934000000.0,2313000000.0,0.11685359199757503,0.2927149641305446
APPLIED MATERIALS INC /DE,20231031,2023,FY,10-K,26517000000.0,490000000.0,0.01847871176980805,6856000000.0,3102000000.0,0.11698155899988687,0.2936983821699287
APPLIED MATERIALS INC /DE,20240131,2024,Q1,10-Q,6739000000.0,170000000.0,0.025226294702478114,2019000000.0,771000000.0,0.11440866597418015,0.2923282386110699
APPLIED MATERIALS INC /DE,20240430,2024,Q2,10-Q,13369000000.0,304000000.0,0.022739172712992743,3741000000.0,1546000000.0,0.11564066123120652,0.290298451641858
APPLIED MATERIALS INC /DE,20240731,2024,Q3,10-Q,20131000000.0,436000000.0,0.021658139188316525,5446000000.0,2375000000.0,0.11797724901892603,0.289156028016492
APPLIED MATERIALS INC /DE,20241031,2024,FY,10-K,27176000000.0,577000000.0,0.02123196938475125,7177000000.0,3233000000.0,0.11896526346776568,0.2894833676773624
APPLIED MATERIALS INC /DE,20250131,2025,Q1,10-Q,7166000000.0,195000000.0,0.027211833658945018,2019000000.0,859000000.0,0.11987161596427574,0.3035166061959252
APPLIED MATERIALS INC /DE,20250430,2025,Q2,10-Q,14266000000.0,354000000.0,0.02481424365624562,3741000000.0,1752000000.0,0.12280947707836815,0.30450021029020047
APPLIED MATERIALS INC /DE,20250731,2025,Q3,10-Q,21568000000.0,512000000.0,0.02373887240356083,5446000000.0,2653000000.0,0.12300630563798219,0.3049425074183976
APPLIED MATERIALS INC /DE,20251031,2025,FY,10-K,28368000000.0,668000000.0,0.023547659334461363,7177000000.0,3570000000.0,0.1258460236886633,0.2921954314720812
APPLIED MATERIALS INC /DE,20260131,2026,Q1,10-Q,7166000000.0,207000000.0,0.02888640803795702,2026000000.0,928000000.0,0.12950041864359477,0.3035166061959252
ASML HOLDING NV,20221231,2022,FY,20-F,21173400000.0,117500000.0,0.005549415776398689,5883200000.0,3253500000.0,0.15365978066819688,0.3188009483597344
ASML HOLDING NV,20231231,2023,FY,20-F,27558500000.0,134800000.0,0.0048914128127438,7839000000.0,3980600000.0,0.14444182375673567,0.3281129234174574
ASML HOLDING NV,20241231,2024,FY,20-F,28262900000.0,172600000.0,0.0061069458548132,7839000000.0,4303700000.0,0.15227382894182834,0.31993532156997334
ASML HOLDING NV,20251231,2025,FY,20-F,32667300000.0,202300000.0,0.006192737079587233,9609400000.0,4698800000.0,0.14383802763007655,0.34595451720833986
BROADCOM INC.,20230131,2023,Q1,10-Q,8915000000.0,391000000.0,0.04385866517106001,,1206000000.0,0.13527762198541785,0.46247896803140776
BROADCOM INC.,20230430,2023,Q2,10-Q,17648000000.0,904000000.0,0.05122393472348141,,2507000000.0,0.14205575702629192,0.46027878513145964
BROADCOM INC.,20230731,2023,Q3,10-Q,26524000000.0,1533000000.0,0.057796712411401,,3865000000.0,0.14571708641230582,0.4605263157894737
BROADCOM INC.,20231031,2023,FY,10-K,35819000000.0,2171000000.0,0.06061029062787906,,5253000000.0,0.14665401044138585,0.4602585220134566
BROADCOM INC.,20240131,2024,Q1,10-Q,11961000000.0,1582000000.0,0.13226318869659728,,2308000000.0,0.19296045481147062,0.34470362009865396
BROADCOM INC.,20240430,2024,Q2,10-Q,24448000000.0,3039000000.0,0.12430464659685864,,4723000000.0,0.19318553664921467,0.3322562172774869
BROADCOM INC.,20240731,2024,Q3,10-Q,37520000000.0,4427000000.0,0.11799040511727078,,7076000000.0,0.18859275053304905,0.3255597014925373
BROADCOM INC.,20241031,2024,FY,10-K,51574000000.0,5741000000.0,0.11131577926862372,,9310000000.0,0.18051731492612558,0.32495055648194826
BROADCOM INC.,20250131,2025,Q1,10-Q,14916000000.0,1582000000.0,0.10606060606060606,,2308000000.0,0.15473317243228749,0.41968356127648165
BROADCOM INC.,20250430,2025,Q2,10-Q,29920000000.0,3051000000.0,0.10197192513368984,,4946000000.0,0.16530748663101605,0.40404411764705883
BROADCOM INC.,20250731,2025,Q3,10-Q,45872000000.0,5373000000.0,0.11713027554935472,,7996000000.0,0.1743111266131845,0.391873038018835
BROADCOM INC.,20251031,2025,FY,10-K,63887000000.0,7568000000.0,0.11845915444456619,,10977000000.0,0.1718189929093556,0.3988917933225852
BROADCOM INC.,20260131,2026,Q1,10-Q,,2176000000.0,,,,,
CADENCE DESIGN SYSTEMS INC,20221231,2022,FY,10-K,3561718000.0,270439000.0,0.07592936891691032,848952000.0,,,0.30145171515543906
CADENCE DESIGN SYSTEMS INC,20230331,2023,Q1,10-Q,1021690000.0,74288000.0,0.0727109005667081,241804000.0,350295000.0,0.34285840127631667,0.31561726159598313
CADENCE DESIGN SYSTEMS INC,20230630,2023,Q2,10-Q,1998269000.0,150896000.0,0.07551335681031933,462924000.0,704711000.0,0.3526607278599628,0.31116481314577765
CADENCE DESIGN SYSTEMS INC,20230930,2023,Q3,10-Q,3021363000.0,238928000.0,0.07907954125340119,717245000.0,1074353000.0,0.3555855420219285,0.3027431659155156
CADENCE DESIGN SYSTEMS INC,20231231,2023,FY,10-K,4089986000.0,325611000.0,0.07961176395224824,1041144000.0,,,0.3059240300578046
CADENCE DESIGN SYSTEMS INC,20240331,2024,Q1,10-Q,1021690000.0,88129000.0,0.08625806262173458,247643000.0,378958000.0,0.37091289921600484,0.31561726159598313
CADENCE DESIGN SYSTEMS INC,20240630,2024,Q2,10-Q,2069784000.0,175698000.0,0.08488711865585974,477163000.0,749698000.0,0.3622107427634961,0.3004134730967096
CADENCE DESIGN SYSTEMS INC,20240930,2024,Q3,10-Q,3285283000.0,284711000.0,0.08666254931462525,717245000.0,1157067000.0,0.3521970557787564,0.27842258946946125
CADENCE DESIGN SYSTEMS INC,20241231,2024,FY,10-K,4641264000.0,391219000.0,0.08429147749406196,1055484000.0,,,0.29103343399556675
CADENCE DESIGN SYSTEMS INC,20250331,2025,Q1,10-Q,1242366000.0,107613000.0,0.0866194020119675,273579000.0,439102000.0,0.3534401295592442,0.29099315338636117
CADENCE DESIGN SYSTEMS INC,20250630,2025,Q2,10-Q,2517807000.0,225938000.0,0.08973602821820735,477163000.0,881159000.0,0.34997082778783284,0.23962003441884147
CADENCE DESIGN SYSTEMS INC,20250930,2025,Q3,10-Q,3856645000.0,342011000.0,0.08868096493195511,720752000.0,1304190000.0,0.3381669819234075,0.2667362435484728
CADENCE DESIGN SYSTEMS INC,20251231,2025,FY,10-K,5296759000.0,455175000.0,0.08593462530577661,1108888000.0,,,0.28168961434718853
DELL TECHNOLOGIES INC.,20230131,2022,FY,10-K,,1622000000.0,,5563000000.0,2779000000.0,,
DELL TECHNOLOGIES INC.,20230430,2023,Q1,10-Q,,232000000.0,,1072000000.0,688000000.0,,
DELL TECHNOLOGIES INC.,20230731,2023,Q2,10-Q,,468000000.0,,1583000000.0,1393000000.0,,
DELL TECHNOLOGIES INC.,20231031,2024,Q3,10-Q,,703000000.0,,2051000000.0,2085000000.0,,
DELL TECHNOLOGIES INC.,20240131,2023,FY,10-K,,1622000000.0,,5563000000.0,2801000000.0,,
DELL TECHNOLOGIES INC.,20240430,2025,Q1,10-Q,,225000000.0,,960000000.0,763000000.0,,
DELL TECHNOLOGIES INC.,20240731,2025,Q2,10-Q,,448000000.0,,1806000000.0,1543000000.0,,
DELL TECHNOLOGIES INC.,20241031,2025,Q3,10-Q,,675000000.0,,2938000000.0,2288000000.0,,
DELL TECHNOLOGIES INC.,20250131,2024,FY,10-K,,931000000.0,,4592000000.0,3061000000.0,,
DELL TECHNOLOGIES INC.,20250430,2026,Q1,10-Q,,210000000.0,,997000000.0,808000000.0,,
DELL TECHNOLOGIES INC.,20250731,2026,Q2,10-Q,,401000000.0,,2129000000.0,1593000000.0,,
DELL TECHNOLOGIES INC.,20251031,2026,Q3,10-Q,,599000000.0,,3677000000.0,2345000000.0,,
DELL TECHNOLOGIES INC.,20260131,2026,FY,10-K,,878000000.0,,5936000000.0,3142000000.0,,
EQUINIX INC,20221231,2022,FY,10-K,7263105000.0,403983000.0,0.055621252893906944,704345000.0,,,0.16529129070831278
EQUINIX INC,20230331,2023,Q1,10-Q,1998209000.0,98715000.0,0.049401739257505094,258786000.0,,,0.1922326443330002
EQUINIX INC,20230630,2023,Q2,10-Q,4016617000.0,203261000.0,0.05060502407872097,465816000.0,,,0.17838569124215728
EQUINIX INC,20230930,2023,Q3,10-Q,6077647000.0,301707000.0,0.049642073651200866,741610000.0,,,0.18047412098794155
EQUINIX INC,20231231,2023,FY,10-K,8188136000.0,407536000.0,0.04977152309145818,969178000.0,,,0.1762640483743797
EQUINIX INC,20240331,2024,Q1,10-Q,2127000000.0,101000000.0,0.04748472026328162,,,,0.18053596614950634
EQUINIX INC,20240630,2024,Q2,10-Q,4286000000.0,226000000.0,0.05272981801213252,532000000.0,,,0.18665422305179655
EQUINIX INC,20240930,2024,Q3,10-Q,6487000000.0,348000000.0,0.05364575304455064,829000000.0,,,0.18883921689532912
EQUINIX INC,20241231,2024,FY,10-K,8748000000.0,462000000.0,0.05281207133058985,969000000.0,,,0.1649519890260631
EQUINIX INC,20250331,2025,Q1,10-Q,2225000000.0,113000000.0,0.05078651685393258,343000000.0,,,0.20584269662921348
EQUINIX INC,20250630,2025,Q2,10-Q,4481000000.0,240000000.0,0.05355947333184557,711000000.0,,,0.2124525775496541
EQUINIX INC,20250930,2025,Q3,10-Q,6797000000.0,370000000.0,0.05443578049139326,1085000000.0,,,0.20979844048845078
EQUINIX INC,20251231,2025,FY,10-K,9217000000.0,498000000.0,0.054030595638494085,1350000000.0,,,0.2004990777910383
HEWLETT PACKARD ENTERPRISE CO,20230131,2023,Q1,10-Q,5114000000.0,140000000.0,0.02737583105201408,513000000.0,623000000.0,0.12182244818146265,0.2006257332811889
HEWLETT PACKARD ENTERPRISE CO,20230430,2023,Q2,10-Q,9356000000.0,266000000.0,0.028430953398888414,919000000.0,1193000000.0,0.12751175716118,0.20457460453185122
HEWLETT PACKARD ENTERPRISE CO,20230731,2023,Q3,10-Q,13587000000.0,357000000.0,0.02627511591962906,1383000000.0,1771000000.0,0.13034518289541475,0.20328254949584162
HEWLETT PACKARD ENTERPRISE CO,20231031,2023,FY,10-K,18100000000.0,428000000.0,0.023646408839779004,3427000000.0,2349000000.0,0.12977900552486188,0.19939226519337017
HEWLETT PACKARD ENTERPRISE CO,20240131,2024,Q1,10-Q,5114000000.0,141000000.0,0.027571372702385608,501000000.0,623000000.0,0.12182244818146265,0.2006257332811889
HEWLETT PACKARD ENTERPRISE CO,20240430,2024,Q2,10-Q,9356000000.0,266000000.0,0.028430953398888414,919000000.0,1193000000.0,0.12751175716118,0.20457460453185122
HEWLETT PACKARD ENTERPRISE CO,20240731,2024,Q3,10-Q,13587000000.0,357000000.0,0.02627511591962906,1383000000.0,1771000000.0,0.13034518289541475,0.20328254949584162
HEWLETT PACKARD ENTERPRISE CO,20241031,2024,FY,10-K,18587000000.0,430000000.0,0.02313444880830688,2579000000.0,2349000000.0,0.12637865174584387,0.19416796685855706
HEWLETT PACKARD ENTERPRISE CO,20250131,2025,Q1,10-Q,4970000000.0,154000000.0,0.030985915492957747,627000000.0,582000000.0,0.117102615694165,0.1704225352112676
HEWLETT PACKARD ENTERPRISE CO,20250430,2025,Q2,10-Q,9739000000.0,270000000.0,0.027723585583735496,701000000.0,1172000000.0,0.12034089742273334,0.163466474997433
HEWLETT PACKARD ENTERPRISE CO,20250731,2025,Q3,10-Q,15787000000.0,447000000.0,0.028314435928295432,1213000000.0,1719000000.0,0.10888705897257236,0.15506429340596695
HEWLETT PACKARD ENTERPRISE CO,20251031,2025,FY,10-K,21956000000.0,643000000.0,0.029285844416104937,2579000000.0,2518000000.0,0.11468391328110766,0.16437420295135727
HEWLETT PACKARD ENTERPRISE CO,20260131,2026,Q1,10-Q,5861000000.0,216000000.0,0.036853779218563386,627000000.0,744000000.0,0.12694079508616277,0.21719843030199626
INTEL CORP,20221231,2022,FY,10-K,79699000000.0,3128000000.0,0.03924766935595177,20899000000.0,17528000000.0,0.21992747713271182,0.29709281170403645
INTEL CORP,20230331,2023,Q1,10-Q,18353000000.0,739000000.0,0.04026589658366479,8113000000.0,4362000000.0,0.23767231515283604,0.23652808805099984
INTEL CORP,20230630,2023,Q2,10-Q,33674000000.0,1661000000.0,0.049325889410227475,7659000000.0,8762000000.0,0.26020074835184415,0.10812496287937282
INTEL CORP,20230930,2023,Q3,10-Q,49012000000.0,2433000000.0,0.049640904268342445,8678000000.0,13064000000.0,0.2665469680894475,0.10293397535297479
INTEL CORP,20231231,2023,FY,10-K,79024000000.0,3229000000.0,0.04086100425187285,19868000000.0,17528000000.0,0.22180603361004253,0.2462036849564689
INTEL CORP,20240331,2024,Q1,10-Q,17077000000.0,1179000000.0,0.06904022954851555,-381000000.0,4382000000.0,0.2566024477367219,0.1938865140247116
INTEL CORP,20240630,2024,Q2,10-Q,34164000000.0,1959000000.0,0.0573410607657183,1481000000.0,8621000000.0,0.2523416461772626,0.1821508020138157
INTEL CORP,20240930,2024,Q3,10-Q,51895000000.0,2759000000.0,0.05316504480200405,297000000.0,12670000000.0,0.24414683495519798,0.1842181327680894
INTEL CORP,20241231,2024,FY,10-K,63054000000.0,3410000000.0,0.05408062930186824,8014000000.0,17528000000.0,0.27798395026485234,0.22103276556602278
INTEL CORP,20250331,2025,Q1,10-Q,12724000000.0,1179000000.0,0.09265954102483495,-381000000.0,4382000000.0,0.3443885570575291,0.25455831499528453
INTEL CORP,20250630,2025,Q2,10-Q,25557000000.0,1959000000.0,0.07665218922408733,-1610000000.0,8621000000.0,0.3373244120984466,0.23954298235317134
INTEL CORP,20250930,2025,Q3,10-Q,39179000000.0,2759000000.0,0.07042037826386585,4063000000.0,12670000000.0,0.3233875290334108,0.24094540442584036
INTEL CORP,20251231,2025,FY,10-K,54228000000.0,3410000000.0,0.06288264365272553,1689000000.0,16546000000.0,0.3051191266504389,0.23987607877849082
KLA CORP,20221231,2023,Q2,10-Q,5711810000.0,73387000.0,0.012848291522302038,2004786000.0,651341000.0,0.11403408026527494,
KLA CORP,20230331,2023,Q3,10-Q,8143728000.0,121517000.0,0.014921544530956829,2702623000.0,979617000.0,0.12029097730179593,
KLA CORP,20230630,2023,FY,10-K,10499192000.0,171424000.0,0.016327351666680635,3387277000.0,1296727000.0,0.1235073137056642,
KLA CORP,20230930,2024,Q1,10-Q,2726371000.0,48772000.0,0.01788898136020373,1025991000.0,318515000.0,0.11682746038598563,
KLA CORP,20231231,2024,Q2,10-Q,5711810000.0,97392000.0,0.01705098734026517,2004786000.0,651341000.0,0.11403408026527494,
KLA CORP,20240331,2024,Q3,10-Q,8143728000.0,154074000.0,0.018919345046887616,2702623000.0,979617000.0,0.12029097730179593,
KLA CORP,20240630,2024,FY,10-K,10499192000.0,212695000.0,0.02025822558535933,3387277000.0,1296727000.0,0.1235073137056642,
KLA CORP,20240930,2025,Q1,10-Q,2841541000.0,61700000.0,0.021713570207151683,945851000.0,323145000.0,0.11372174464489515,
KLA CORP,20241231,2025,Q2,10-Q,5918698000.0,123541000.0,0.02087300281244287,1770378000.0,669302000.0,0.11308264081052961,
KLA CORP,20250331,2025,Q3,10-Q,8982567000.0,193742000.0,0.021568667397638113,2858794000.0,1007345000.0,0.11214444601415163,
KLA CORP,20250630,2025,FY,10-K,12156187000.0,265011000.0,0.02180050372703217,4061643000.0,1360334000.0,0.11190466221028025,
KLA CORP,20250930,2026,Q1,10-Q,3209696000.0,70182000.0,0.021865622164840535,1121040000.0,360461000.0,0.11230378204041754,
KLA CORP,20251231,2026,Q2,10-Q,6506842000.0,144129000.0,0.02215037648063377,2266722000.0,744332000.0,0.11439220439039399,
LAM RESEARCH CORP,20221231,2023,Q2,10-Q,10351690000.0,144194000.0,0.013929512958753595,2894386000.0,895760000.0,0.0865327304044074,0.32632372105424334
LAM RESEARCH CORP,20230331,2023,Q3,10-Q,14221259000.0,218105000.0,0.015336546504075342,3708394000.0,1325211000.0,0.09318520955141876,0.3037885042386191
LAM RESEARCH CORP,20230630,2023,FY,10-K,17428516000.0,286600000.0,0.016444314593393954,4605286000.0,1727162000.0,0.09909977418616708,0.30879404764008594
LAM RESEARCH CORP,20230930,2024,Q1,10-Q,5074121000.0,71110000.0,0.014014249955805153,1425879000.0,433375000.0,0.08540888165654702,0.3346077084090033
LAM RESEARCH CORP,20231231,2024,Q2,10-Q,10351690000.0,144194000.0,0.013929512958753595,2894386000.0,895760000.0,0.0865327304044074,0.32632372105424334
LAM RESEARCH CORP,20240331,2024,Q3,10-Q,14221259000.0,218105000.0,0.015336546504075342,3708394000.0,1404615000.0,0.09876868145077732,0.3037885042386191
LAM RESEARCH CORP,20240630,2024,FY,10-K,17428516000.0,293058000.0,0.016814856755446073,4605286000.0,1902444000.0,0.10915697010577378,0.30879404764008594
LAM RESEARCH CORP,20240930,2025,Q1,10-Q,4167976000.0,80011000.0,0.019196607658009547,1116444000.0,495358000.0,0.1188485730244128,0.30331196724741216
LAM RESEARCH CORP,20241231,2025,Q2,10-Q,8544023000.0,161970000.0,0.018957111889797113,2307462000.0,990305000.0,0.11590617206905927,0.304081695472964
LAM RESEARCH CORP,20250331,2025,Q3,10-Q,13264198000.0,249085000.0,0.018778745612814285,3638129000.0,1516209000.0,0.11430838110227244,0.31361413633903834
LAM RESEARCH CORP,20250630,2025,FY,10-K,18435591000.0,343371000.0,0.018625440323556754,5358217000.0,2096387000.0,0.1137141196070145,0.32008564303688447
LAM RESEARCH CORP,20250930,2026,Q1,10-Q,5324173000.0,97241000.0,0.018264057159675315,1568660000.0,576446000.0,0.10826958477870648,0.34354405839179153
LAM RESEARCH CORP,20251231,2026,Q2,10-Q,10668964000.0,185780000.0,0.017413124648278877,3162654000.0,1149751000.0,0.10776594615934593,0.34111006466982174
"MARVELL TECHNOLOGY, INC.",20230131,2022,FY,10-K,5919600000.0,552400000.0,0.0933171160213528,-163500000.0,1784300000.0,0.3014223934049598,0.04020541928508683
"MARVELL TECHNOLOGY, INC.",20230430,2024,Q1,10-Q,1446900000.0,143200000.0,0.09897021217775935,-165700000.0,480700000.0,0.3322275209067662,0.04824106710899164
"MARVELL TECHNOLOGY, INC.",20230731,2024,Q2,10-Q,2963800000.0,296000000.0,0.09987178622039274,4300000.0,955500000.0,0.32239017477562587,0.036743369997975575
"MARVELL TECHNOLOGY, INC.",20231031,2024,Q3,10-Q,4501100000.0,454500000.0,0.10097531714469796,13300000.0,1436600000.0,0.3191664259847593,0.047699451245251163
"MARVELL TECHNOLOGY, INC.",20240131,2023,FY,10-K,5919600000.0,609800000.0,0.1030137171430502,-163500000.0,1896200000.0,0.3203256976822758,0.04020541928508683
"MARVELL TECHNOLOGY, INC.",20240430,2025,Q1,10-Q,1321700000.0,143200000.0,0.10834531285465689,-168900000.0,480700000.0,0.36369826738291594,-0.1152303851100855
"MARVELL TECHNOLOGY, INC.",20240731,2025,Q2,10-Q,2662600000.0,296000000.0,0.11116953353864643,-168900000.0,962800000.0,0.36160144219935403,-0.03770750394351386
"MARVELL TECHNOLOGY, INC.",20241031,2025,Q3,10-Q,4081200000.0,454500000.0,0.11136430461628932,-164300000.0,1451400000.0,0.3556306968538665,-0.03584729981378026
"MARVELL TECHNOLOGY, INC.",20250131,2024,FY,10-K,5919600000.0,609800000.0,0.1030137171430502,-163500000.0,1950400000.0,0.32948172173795526,0.04020541928508683
"MARVELL TECHNOLOGY, INC.",20250430,2026,Q1,10-Q,1895300000.0,142100000.0,0.07497493800453754,177900000.0,507700000.0,0.2678731599219121,0.142774230992455
"MARVELL TECHNOLOGY, INC.",20250731,2026,Q2,10-Q,3901400000.0,295700000.0,0.07579330496744759,372700000.0,1026700000.0,0.2631619418670221,0.1437176398216025
"MARVELL TECHNOLOGY, INC.",20251031,2026,Q3,10-Q,5975900000.0,449800000.0,0.07526899713850634,2274000000.0,1539200000.0,0.25756789772251876,0.1537006978028414
"MARVELL TECHNOLOGY, INC.",20260131,2026,FY,10-K,8194600000.0,609800000.0,0.07441485856539673,2670100000.0,2075200000.0,0.2532399384960828,0.16143557952798185
"META PLATFORMS, INC.",20221231,2022,FY,10-K,117929000000.0,11992000000.0,0.1016883039795131,39370000000.0,35338000000.0,0.29965487708706084,0.4828837690474777
"META PLATFORMS, INC.",20230331,2023,Q1,10-Q,28645000000.0,3051000000.0,0.10651073485774132,7465000000.0,9381000000.0,0.327491708849712,0.4009076627683714
"META PLATFORMS, INC.",20230630,2023,Q2,10-Q,60645000000.0,7111000000.0,0.11725616291532691,14152000000.0,18725000000.0,0.30876411905350815,0.40153351471679444
"META PLATFORMS, INC.",20230930,2023,Q3,10-Q,94791000000.0,10603000000.0,0.11185661085968077,25081000000.0,27966000000.0,0.2950280089881951,0.44140266480995033
"META PLATFORMS, INC.",20231231,2023,FY,10-K,134902000000.0,14027000000.0,0.10397918488977183,39370000000.0,38483000000.0,0.2852663414923426,0.4660494284740033
"META PLATFORMS, INC.",20240331,2024,Q1,10-Q,36455000000.0,3562000000.0,0.0977095048690166,12369000000.0,9978000000.0,0.27370731038266355,0.48454258675078865
"META PLATFORMS, INC.",20240630,2024,Q2,10-Q,75527000000.0,8178000000.0,0.10827915844664822,25834000000.0,20515000000.0,0.27162471698862656,0.4898777920478769
