name,period,fy,fp,revenue,rpo,total_deferred_revenue,deferred_rev_current,deferred_rev_noncurrent,rpo_to_deferred_ratio
APPLIED MATERIALS INC /DE,20240430,2024,Q2,13369000000.0,,2975000000.0,2975000000.0,,
APPLIED MATERIALS INC /DE,20240731,2024,Q3,20131000000.0,,2975000000.0,2975000000.0,,
APPLIED MATERIALS INC /DE,20241031,2024,FY,27176000000.0,,2975000000.0,2975000000.0,,
APPLIED MATERIALS INC /DE,20250131,2025,Q1,7166000000.0,,2849000000.0,2849000000.0,,
APPLIED MATERIALS INC /DE,20250430,2025,Q2,14266000000.0,,2849000000.0,2849000000.0,,
APPLIED MATERIALS INC /DE,20250731,2025,Q3,21568000000.0,,2849000000.0,2849000000.0,,
APPLIED MATERIALS INC /DE,20251031,2025,FY,28368000000.0,,2849000000.0,2849000000.0,,
APPLIED MATERIALS INC /DE,20260131,2026,Q1,7166000000.0,,2566000000.0,2566000000.0,,
ASML HOLDING NV,20221231,2022,FY,21173400000.0,,17750900000.0,12481000000.0,5269900000.0,
ASML HOLDING NV,20231231,2023,FY,27558500000.0,,17750900000.0,12481000000.0,5269900000.0,
ASML HOLDING NV,20241231,2024,FY,28262900000.0,,18196200000.0,12570800000.0,5625400000.0,
ASML HOLDING NV,20251231,2025,FY,32667300000.0,,21631700000.0,16006300000.0,5625400000.0,
BROADCOM INC.,20260131,2026,Q1,,,9469000000.0,9469000000.0,,
CADENCE DESIGN SYSTEMS INC,20230331,2023,Q1,1021690000.0,,823761000.0,721246000.0,102515000.0,
CADENCE DESIGN SYSTEMS INC,20230630,2023,Q2,1998269000.0,,787191000.0,690538000.0,96653000.0,
CADENCE DESIGN SYSTEMS INC,20230930,2023,Q3,3021363000.0,,791147000.0,690538000.0,100609000.0,
CADENCE DESIGN SYSTEMS INC,20240331,2024,Q1,1021690000.0,,763955000.0,665024000.0,98931000.0,
CADENCE DESIGN SYSTEMS INC,20240630,2024,Q2,2069784000.0,,777529000.0,678598000.0,98931000.0,
CADENCE DESIGN SYSTEMS INC,20240930,2024,Q3,3285283000.0,,800275000.0,697836000.0,102439000.0,
CADENCE DESIGN SYSTEMS INC,20250331,2025,Q1,1242366000.0,,852581000.0,737413000.0,115168000.0,
CADENCE DESIGN SYSTEMS INC,20250630,2025,Q2,2517807000.0,,891861000.0,737413000.0,154448000.0,
CADENCE DESIGN SYSTEMS INC,20250930,2025,Q3,3856645000.0,,905344000.0,775284000.0,130060000.0,
DELL TECHNOLOGIES INC.,20230131,2022,FY,,,30286000000.0,15542000000.0,14744000000.0,
DELL TECHNOLOGIES INC.,20230430,2023,Q1,,,30286000000.0,15542000000.0,14744000000.0,
DELL TECHNOLOGIES INC.,20230731,2023,Q2,,,30918000000.0,16174000000.0,14744000000.0,
DELL TECHNOLOGIES INC.,20231031,2024,Q3,,,30286000000.0,15542000000.0,14744000000.0,
DELL TECHNOLOGIES INC.,20240131,2023,FY,,,30286000000.0,15542000000.0,14744000000.0,
DELL TECHNOLOGIES INC.,20240430,2025,Q1,,,29695000000.0,15527000000.0,14168000000.0,
DELL TECHNOLOGIES INC.,20240731,2025,Q2,,,30312000000.0,16174000000.0,14138000000.0,
DELL TECHNOLOGIES INC.,20241031,2025,Q3,,,29165000000.0,15318000000.0,13847000000.0,
DELL TECHNOLOGIES INC.,20250131,2024,FY,,,29145000000.0,15318000000.0,13827000000.0,
DELL TECHNOLOGIES INC.,20250430,2026,Q1,,,28150000000.0,15034000000.0,13116000000.0,
DELL TECHNOLOGIES INC.,20250731,2026,Q2,,,27712000000.0,14853000000.0,12859000000.0,
DELL TECHNOLOGIES INC.,20251031,2026,Q3,,,26246000000.0,13787000000.0,12459000000.0,
DELL TECHNOLOGIES INC.,20260131,2026,FY,,,27269000000.0,13673000000.0,13596000000.0,
HEWLETT PACKARD ENTERPRISE CO,20230131,2023,Q1,5114000000.0,,3533000000.0,3533000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20230430,2023,Q2,9356000000.0,,3621000000.0,3621000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20230731,2023,Q3,13587000000.0,,3654000000.0,3654000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20231031,2023,FY,18100000000.0,,3658000000.0,3658000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20240131,2024,Q1,5114000000.0,,3718000000.0,3718000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20240430,2024,Q2,9356000000.0,,3783000000.0,3783000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20240731,2024,Q3,13587000000.0,,3803000000.0,3803000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20241031,2024,FY,18587000000.0,,3904000000.0,3904000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20250131,2025,Q1,4970000000.0,,3905000000.0,3905000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20250430,2025,Q2,9739000000.0,,4172000000.0,4172000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20250731,2025,Q3,15787000000.0,,5311000000.0,5311000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20251031,2025,FY,21956000000.0,,5358000000.0,5358000000.0,,
HEWLETT PACKARD ENTERPRISE CO,20260131,2026,Q1,5861000000.0,,5483000000.0,5483000000.0,,
KLA CORP,20221231,2023,Q2,5711810000.0,,162768000.0,,162768000.0,
KLA CORP,20230331,2023,Q3,8143728000.0,,176260000.0,,176260000.0,
KLA CORP,20230630,2023,FY,10499192000.0,,176681000.0,,176681000.0,
KLA CORP,20230930,2024,Q1,2726371000.0,,192236000.0,,192236000.0,
KLA CORP,20231231,2024,Q2,5711810000.0,,221768000.0,,221768000.0,
KLA CORP,20240331,2024,Q3,8143728000.0,,271365000.0,,271365000.0,
KLA CORP,20240630,2024,FY,10499192000.0,,294460000.0,,294460000.0,
KLA CORP,20240930,2025,Q1,2841541000.0,,319794000.0,,319794000.0,
KLA CORP,20241231,2025,Q2,5918698000.0,,333758000.0,,333758000.0,
KLA CORP,20250331,2025,Q3,8982567000.0,,351931000.0,,351931000.0,
KLA CORP,20250630,2025,FY,12156187000.0,,348844000.0,,348844000.0,
KLA CORP,20250930,2026,Q1,3209696000.0,,348844000.0,,348844000.0,
KLA CORP,20251231,2026,Q2,6506842000.0,,348844000.0,,348844000.0,
LAM RESEARCH CORP,20230630,2023,FY,17428516000.0,,1695221000.0,1695221000.0,,
LAM RESEARCH CORP,20231231,2024,Q2,10351690000.0,,1792955000.0,1792955000.0,,
LAM RESEARCH CORP,20240331,2024,Q3,14221259000.0,,1695221000.0,1695221000.0,,
LAM RESEARCH CORP,20240630,2024,FY,17428516000.0,,1695221000.0,1695221000.0,,
LAM RESEARCH CORP,20240930,2025,Q1,4167976000.0,,1937315000.0,1937315000.0,,
LAM RESEARCH CORP,20241231,2025,Q2,8544023000.0,,1927893000.0,1927893000.0,,
LAM RESEARCH CORP,20250331,2025,Q3,13264198000.0,,1882339000.0,1882339000.0,,
LAM RESEARCH CORP,20250630,2025,FY,18435591000.0,,2565540000.0,2565540000.0,,
LAM RESEARCH CORP,20250930,2026,Q1,5324173000.0,,2646444000.0,2646444000.0,,
LAM RESEARCH CORP,20251231,2026,Q2,10668964000.0,,2565540000.0,2565540000.0,,
MICROSOFT CORP,20221231,2023,Q2,102869000000.0,,48408000000.0,45538000000.0,2870000000.0,
MICROSOFT CORP,20230331,2023,Q3,155726000000.0,,48408000000.0,45538000000.0,2870000000.0,
MICROSOFT CORP,20230630,2023,FY,211915000000.0,,53813000000.0,50901000000.0,2912000000.0,
MICROSOFT CORP,20230930,2024,Q1,56517000000.0,,53813000000.0,50901000000.0,2912000000.0,
MICROSOFT CORP,20231231,2024,Q2,118537000000.0,,53867000000.0,50901000000.0,2966000000.0,
MICROSOFT CORP,20240331,2024,Q3,180395000000.0,,53846000000.0,50901000000.0,2945000000.0,
MICROSOFT CORP,20240630,2024,FY,245122000000.0,,60494000000.0,57582000000.0,2912000000.0,
MICROSOFT CORP,20240630,,,245122000000.0,,60494000000.0,57582000000.0,2912000000.0,
MICROSOFT CORP,20240930,2025,Q1,65585000000.0,,60245000000.0,57582000000.0,2663000000.0,
MICROSOFT CORP,20241231,2025,Q2,135217000000.0,,60184000000.0,57582000000.0,2602000000.0,
MICROSOFT CORP,20250331,2025,Q3,205283000000.0,,60422000000.0,57582000000.0,2840000000.0,
MICROSOFT CORP,20250630,2025,FY,281724000000.0,,67265000000.0,64555000000.0,2710000000.0,
MICROSOFT CORP,20250930,2026,Q1,77673000000.0,,67265000000.0,64555000000.0,2710000000.0,
MICROSOFT CORP,20251231,2026,Q2,158946000000.0,,67265000000.0,64555000000.0,2710000000.0,
ORACLE CORP,20230228,2023,Q3,36118000000.0,,8598000000.0,8598000000.0,,
ORACLE CORP,20230531,2023,FY,49954000000.0,,8970000000.0,8970000000.0,,
ORACLE CORP,20230831,2024,Q1,12453000000.0,,11120000000.0,11120000000.0,,
ORACLE CORP,20231130,2024,Q2,25394000000.0,,8970000000.0,8970000000.0,,
ORACLE CORP,20240229,2024,Q3,38674000000.0,,8970000000.0,8970000000.0,,
ORACLE CORP,20240531,2024,FY,52961000000.0,,9313000000.0,9313000000.0,,
ORACLE CORP,20240831,2025,Q1,13307000000.0,,11455000000.0,11455000000.0,,
ORACLE CORP,20241130,2025,Q2,27366000000.0,,9430000000.0,9430000000.0,,
ORACLE CORP,20250228,2025,Q3,41496000000.0,,9313000000.0,9313000000.0,,
ORACLE CORP,20250531,2025,FY,57399000000.0,,9387000000.0,9387000000.0,,
ORACLE CORP,20250831,2026,Q1,14926000000.0,,12098000000.0,12098000000.0,,
ORACLE CORP,20251130,2026,Q2,30983000000.0,,9940000000.0,9940000000.0,,
ORACLE CORP,20260228,2026,Q3,48173000000.0,,9881000000.0,9881000000.0,,
"SALESFORCE, INC.",20230131,2022,FY,31352000000.0,,17376000000.0,17376000000.0,,
"SALESFORCE, INC.",20230430,2024,Q1,8247000000.0,,17376000000.0,17376000000.0,,
"SALESFORCE, INC.",20230731,2024,Q2,16850000000.0,,17376000000.0,17376000000.0,,
"SALESFORCE, INC.",20231031,2024,Q3,25570000000.0,,17376000000.0,17376000000.0,,
"SALESFORCE, INC.",20240131,2023,FY,34857000000.0,,19003000000.0,19003000000.0,,
"SALESFORCE, INC.",20240430,2025,Q1,9133000000.0,,19003000000.0,19003000000.0,,
"SALESFORCE, INC.",20240731,2025,Q2,18458000000.0,,19003000000.0,19003000000.0,,
"SALESFORCE, INC.",20241031,2025,Q3,27902000000.0,,19003000000.0,19003000000.0,,
"SALESFORCE, INC.",20250131,2024,FY,37895000000.0,,20743000000.0,20743000000.0,,
"SALESFORCE, INC.",20250430,2026,Q1,9829000000.0,,20743000000.0,20743000000.0,,
"SALESFORCE, INC.",20250731,2026,Q2,20065000000.0,,20743000000.0,20743000000.0,,
"SALESFORCE, INC.",20251031,2026,Q3,30324000000.0,,20743000000.0,20743000000.0,,
"SALESFORCE, INC.",20260131,2025,FY,41525000000.0,,24317000000.0,24317000000.0,,
SYNOPSYS INC,20230131,2023,Q1,1361340000.0,,2167871000.0,1995077000.0,172794000.0,
SYNOPSYS INC,20230430,2023,Q2,2756203000.0,,2160221000.0,1968808000.0,191413000.0,
SYNOPSYS INC,20230731,2023,Q3,4243491000.0,,2105682000.0,1910822000.0,194860000.0,
SYNOPSYS INC,20231031,2023,FY,5842619000.0,,2085950000.0,1910822000.0,175128000.0,
SYNOPSYS INC,20240131,2024,Q1,1649230000.0,,2045680000.0,1855839000.0,189841000.0,
SYNOPSYS INC,20240430,2024,Q2,2965701000.0,,1867426000.0,1559461000.0,307965000.0,
SYNOPSYS INC,20240731,2024,Q3,4491450000.0,,1878541000.0,1559461000.0,319080000.0,
SYNOPSYS INC,20241031,2024,FY,6127436000.0,,1900292000.0,1559461000.0,340831000.0,
SYNOPSYS INC,20250131,2025,Q1,1510989000.0,,1732568000.0,1391737000.0,340831000.0,
SYNOPSYS INC,20250430,2025,Q2,3059581000.0,,1732568000.0,1391737000.0,340831000.0,
SYNOPSYS INC,20250731,2025,Q3,4799318000.0,,2374834000.0,1991429000.0,383405000.0,
SYNOPSYS INC,20251031,2025,FY,7054178000.0,,2628518000.0,2245961000.0,382557000.0,
SYNOPSYS INC,20260131,2026,Q1,2408798000.0,,2880009000.0,2459122000.0,420887000.0,
