occupation_code,occupation_title,ai_exposure_felten_2021,ai_exposure_felten_2023,language_modeling_exposure,image_generation_exposure,reasoning_exposure,automation_probability,augmentation_probability,displacement_risk,wage_2023,employment_2023,education_level,task_count,routine_task_pct,abstract_task_pct,manual_task_pct
27-3043,Writers and Authors,0.65,0.75,0.70,0.20,0.60,0.35,0.40,0.35,70000,150000,bachelor,75,35,60,5
29-1141,Registered Nurses,0.25,0.35,0.30,0.10,0.35,0.05,0.30,0.05,80000,3000000,bachelor,60,30,50,20
29-1171,Nurse Practitioners,0.35,0.45,0.40,0.15,0.45,0.10,0.35,0.10,120000,250000,master,65,30,60,10
29-1069,Physicians and Surgeons All Other,0.30,0.40,0.35,0.20,0.40,0.10,0.30,0.10,200000,750000,doctorate,70,30,60,10
31-1128,Home Health Aides,0.15,0.25,0.20,0.05,0.25,0.05,0.20,0.05,30000,3500000,hs_diploma,40,50,20,30
31-1131,Nursing Assistants,0.15,0.25,0.20,0.05,0.25,0.05,0.20,0.05,35000,1500000,hs_diploma,45,55,15,30
33-3051,Police Officers,0.30,0.40,0.35,0.20,0.40,0.10,0.30,0.10,70000,700000,hs_diploma,55,40,45,15
35-3023,Fast Food and Counter Workers,0.20,0.30,0.25,0.05,0.30,0.10,0.20,0.10,28000,3500000,less_hs,40,60,10,30
37-2011,Janitors and Cleaners,0.10,0.20,0.15,0.05,0.20,0.05,0.15,0.05,30000,2200000,less_hs,35,70,10,20
39-9011,Childcare Workers,0.15,0.25,0.20,0.05,0.25,0.05,0.20,0.05,28000,1000000,hs_diploma,40,50,25,25
41-1011,First-Line Supervisors of Retail Sales Workers,0.35,0.45,0.40,0.10,0.40,0.15,0.30,0.15,45000,1000000,hs_diploma,60,45,40,15
41-3091,Sales Representatives of Services,0.50,0.60,0.55,0.15,0.50,0.25,0.35,0.25,70000,1500000,bachelor,65,35,55,10
41-4011,Sales Representatives Wholesale and Manufacturing,0.45,0.55,0.50,0.15,0.45,0.20,0.35,0.20,75000,1200000,bachelor,65,40,50,10
43-1011,First-Line Supervisors of Office Support Workers,0.45,0.55,0.50,0.10,0.50,0.20,0.35,0.20,60000,1500000,hs_diploma,65,50,40,10
43-3031,Bookkeeping Accounting and Auditing Clerks,0.75,0.85,0.80,0.10,0.60,0.65,0.20,0.65,45000,1500000,associate,85,70,20,10
43-4051,Customer Service Representatives,0.70,0.80,0.75,0.10,0.60,0.45,0.35,0.45,40000,2800000,hs_diploma,75,55,35,10
43-4171,Receptionists and Information Clerks,0.60,0.70,0.65,0.10,0.55,0.35,0.35,0.35,35000,1000000,hs_diploma,70,60,30,10
43-6014,Secretaries and Administrative Assistants,0.65,0.75,0.70,0.15,0.60,0.40,0.35,0.40,42000,2200000,hs_diploma,75,55,35,10
43-9061,Office Clerks General,0.55,0.65,0.60,0.10,0.50,0.30,0.35,0.30,38000,2500000,hs_diploma,70,60,30,10
47-2031,Carpenters,0.15,0.25,0.20,0.10,0.25,0.05,0.20,0.05,55000,700000,hs_diploma,40,50,20,30
47-2111,Electricians,0.25,0.35,0.30,0.15,0.35,0.10,0.25,0.10,65000,750000,hs_diploma,50,45,30,25
49-9071,Maintenance and Repair Workers General,0.20,0.30,0.25,0.10,0.30,0.10,0.20,0.10,45000,1400000,hs_diploma,50,50,30,20
51-2092,Team Assemblers,0.25,0.35,0.30,0.10,0.35,0.15,0.20,0.15,35000,1200000,hs_diploma,45,60,15,25
51-4041,Machinists,0.30,0.40,0.35,0.15,0.40,0.15,0.25,0.15,50000,400000,hs_diploma,55,50,25,25
53-3032,Heavy and Tractor-Trailer Truck Drivers,0.35,0.45,0.40,0.20,0.45,0.20,0.25,0.20,50000,1800000,hs_diploma,50,55,25,20
53-7062,Laborers and Freight Stock and Material Movers,0.20,0.30,0.25,0.10,0.30,0.10,0.20,0.10,35000,3000000,less_hs,40,65,15,20
